WQ_Station_Name,River_Name,Water_Category
"Near Foteh Ali Bridge, Bogura (Downstream)",Korotoa River,Freshwater
"Near Foteh Ali Bridge, Bogura (Upstream)",Korotoa River,Freshwater
"Near Fulpukuria Dyeing Ltd. Pagar, Tongi",Balu River,Freshwater
Near Gigatola Pilkhana More,Dhanmondi Lake,Lake
"Near Hossain Dyeing Ltd. Pagar, Tongi",Balu River,Freshwater
"Near Housing, South Bridge",Gulshan Lake,Lake
Near Jaber & Jubair Fabrics Ltd. Tongi,Balu River,Freshwater
Near Jamuna Fertilizer Factory,Jamuna River,Freshwater
Near Lake View Clinic,Gulshan Lake,Lake
"Near Matidali Bridge, Bogra (Down stream)",Korotoa River,Freshwater
"Near Matidali Bridge, Bogra (Up stream)",Korotoa River,Freshwater
"Near Matidali Bridge, Bogura (Downstream)",Korotoa River,Freshwater
"Near Matidali Bridge, Bogura (Upstream)",Korotoa River,Freshwater
"Near S.P Bridge, Bogra (Down stream)",Korotoa River,Freshwater
"Near S.P Bridge, Bogra (Up stream)",Korotoa River,Freshwater
"Near S.P Bridge, Bogura (Downstream)",Korotoa River,Freshwater
"Near S.P Bridge, Bogura (Upstream)",Korotoa River,Freshwater
Near Tista Bridge (D.S),Teesta River,Freshwater
Near Tista Bridge (U.S),Teesta River,Freshwater
"Near United Hospital, Kalachadpur",Gulshan Lake,Lake
New Gabtoli Bridge,Turagh River,Freshwater
Noapara,Bhairab River,Freshwater
Noapara Ferry Ghat,Bhairab River,Freshwater
Noapara Ferry Ghat Abhaynagar,Bhairab River,Freshwater
"Noapara Ferry Ghat, Abhaynagar",Bhairab River,Freshwater
Noapara Ghat (M),Bhairab River,Freshwater
Noapara Ghat (O),Bhairab River,Freshwater
Noapara Ghat (S),Bhairab River,Freshwater
Noapara Jafarpur,Bhairab River,Freshwater
Nohali Sapmari (Dn),Teesta River,Freshwater
Nohali Sapmari (Up),Teesta River,Freshwater
Norsingdi Launch Ghat,Meghna River,Freshwater
Norsingdi Launch Terminal,Meghna River,Freshwater
"North Side of Tongi Bridge, Pagar",Turagh River,Freshwater
Noya Khal (Outside),Krishna Khal,Freshwater
Nurullapur (Down),Teesta River,Freshwater
Nurullapur (Up),Teesta River,Freshwater
Pagla,Dlolaikhal,Freshwater
Pakshi Ghat (DS),Padma River,Freshwater
Pakshi Ghat (US),Padma River,Freshwater
Patenga Charpara,Bay of Bengal,Marine
Patenga charpara,Chaktai Khal,Freshwater
Pathorghata,Dhalaswary River,Freshwater
Patuakhali Launch Ghat (M),Lohalia River,Freshwater
Patuakhali Launch Ghat (S),Lohalia River,Freshwater
Pipe Ghat (D.S),Mathavanga River,Freshwater
Pipe Ghat (M.P),Mathavanga River,Freshwater
Pipe Ghat (U.S),Mathavanga River,Freshwater
"Pipe Ghat, (M.P)",Mathavanga River,Freshwater
"Pipe Ghat, (U.S)",Mathavanga River,Freshwater
"Pipe Ghat,(M.P)",Mathavanga River,Freshwater
"PipeGhat, (D.S)",Mathavanga River,Freshwater
Port Road,Shitalakhya River,Freshwater
"Rail Bridge, Shamvoganj",Bhrammaputra River,Freshwater
Rampal Power Plant,Pashur River,Freshwater
Rampura Bridge,Hatir Jhill Lake,Lake
Ruhitpur,Dhalaswary River,Freshwater
Rupsa Ghat (M),Rupsha River,Freshwater
Rupsha Ghat (M),Rupsha River,Freshwater
Rupsha Ghat (O),Rupsha River,Freshwater
Rupsha Ghat (S),Rupsha River,Freshwater
Sadar Ghat,Buriganga River,Freshwater
Sadarghat,Buriganga River,Freshwater
Sandwip Ghat,Bay of Bengal,Marine
Sardah (Down),Teesta River,Freshwater
Sardah (Up),Teesta River,Freshwater
Sarkarkhana,Jamuna River,Freshwater
Satmosjid Road,Buriganga River,Freshwater
"Shahjadpur, Sirajganj (Downstream)",Korotoa River,Freshwater
"Shahjadpur, Sirajganj (Upstream)",Korotoa River,Freshwater
"Shahjadpur, Sirajgonj (Down stream)",Korotoa River,Freshwater
"Shahjadpur, Sirajgonj (Up stream)",Korotoa River,Freshwater
Shajalal Paper,Meghna River,Freshwater
Shariakandi Groin Badth (DS),Jamuna River,Freshwater
Shariakandi Groin Badth (US),Jamuna River,Freshwater
"Shariakandi Groin Badth, Bogra (DS)",Jamuna River,Freshwater
"Shariakandi Groin Badth, Bogra (US)",Jamuna River,Freshwater
Shariakandi Groin badth (D),Jamuna River,Freshwater
Shariakandi Groin badth (U),Jamuna River,Freshwater
Shariakandi Kheya Ghat (Dn),Jamuna River,Freshwater
Shariakandi Kheya Ghat (Up),Jamuna River,Freshwater
Shariakandi Kheya Ghat Growin Bandh (DN),Jamuna River,Freshwater
Shariakandi Kheya Ghat Growin Bandh (UP),Jamuna River,Freshwater
Sheaik Ghat,Surma River,Freshwater
Shikalbaha,Karnaphuli River,Freshwater
Shimolia,Padma River,Freshwater
Shimulia Ghat,Padma River,Freshwater
Shoshan Ghat,Moyuri River,Freshwater
Sirajnagor,Dhalaswary River,Freshwater
Sitardor,Padma River,Freshwater
"South Side of Tongi Rail Bridge, Pagar, Tongi",Balu River,Freshwater
Sultanganj- Gabtoli (DN),Korotoa River,Freshwater
Sultanganj- Gabtoli (UP),Korotoa River,Freshwater
TSP,Karnaphuli River,Freshwater
"TSP Side, Patenga",Karnaphuli River,Freshwater
"Taltola Shooting Complex, South Side",North Side Gulshan Baridhara Lake,Lake
Tarakandi,Jamuna River,Freshwater
Tarakandi (D),Jamuna River,Freshwater
Tarakandi (U),Jamuna River,Freshwater
Teesta Barrage (Dn),Teesta River,Freshwater
Teesta Barrage (Up),Teesta River,Freshwater
Teesta Bridge (Dn),Teesta River,Freshwater
Teesta Bridge (Up),Teesta River,Freshwater
Tongi Istima Mat,Turagh River,Freshwater
Trimohoni Bridge,Balu River,Freshwater
Turag Bridge,Turagh River,Freshwater
Utorro Mitra,Dhalaswary River,Freshwater
Uzirpur,Khakshiali River,Freshwater
Vadura Launch Ghat (M),Tatulia River,Freshwater
Vadura Launch Ghat (S),Tatulia River,Freshwater
Vatiyari Shipyard Area,Chaktai Khal,Freshwater
Vatiyari Shipyard area,Bay of Bengal,Marine
Vattiyari shipyard area,Karnaphuli River,Freshwater
Vawal,Turagh River,Freshwater
WASA I.P Mohara,Halda River,Freshwater
