,"Monthly and Yearly Total Rainfall data in millimeter by Station, 2015-2019",,,,,,,,,,,,,,
,Sylhet,2016,11,28,134,1004,703,657,531,396,561,158,108,5,4296
,Bogra,2016,15,0,2,28,251,84,327,132,135,107,0,0,1081
,Dinajpur,2016,11,0,25,26,221,129,446,119,473,199,0,11,1660
,Ishurdi,2016,30,12,112,52,177,136,240,132,381,42,2,0,1316
,Rajshahi,2016,42,3,25,175,212,109,376,168,170,95,0,0,1375
,Rangpur,2016,12,0,123,49,313,390,749,118,285,120,0,6,2165
,Sydpur,2016,10,1,47,26,269,125,368,90,335,102,0,6,1379
,Chuadanga,2016,0,82,40,79,88,122,331,465,125,61,2,0,1395
,Jessore,2016,3,21,60,10,269,241,370,204,76,66,46,0,1366
,Khulna,2016,0,97,5,54,350,353,413,646,148,81,75,0,2222
,Mongla,2016,16,53,20,21,270,366,538,544,76,159,55,0,2118
,Satkhira,2016,3,136,7,14,235,184,226,202,131,167,40,0,1345
,Barisal,2016,1,31,8,51,438,318,497,574,286,55,92,0,2351
,Bhola,2016,2,31,24,34,473,328,378,567,277,173,173,0,2460
,Khepupara,2016,6,13,3,22,582,367,770,424,225,219,153,0,2784
,Patuakhali,2016,12,53,3,42,454,387,677,521,203,254,145,0,2751
,Chandpur,2016,0,33,12,19,520,296,539,510,151,135,135,0,2350
,Teknaf,2016,0,0,20,22,346,867,1351,920,512,208,53,0,4299
,Chittagong,2016,5,6,77,39,253,201,568,398,323,249,89,0,2208
,Comilla,2016,1,47,72,118,448,210,557,277,143,111,190,0,2174
,Cox'sbazar,2016,0,0,25,22,359,538,1113,472,309,418,41,0,3297
,Feni,2016,0,51,116,25,450,428,634,439,439,323,186,0,3091
,Hatiya,2016,4,34,50,40,314,430,984,637,348,589,238,0,3668
,Kutubdia,2016,9,4,65,14,318,329,872,573,377,262,102,0,2925
,M.court,2016,2,32,83,63,467,304,564,528,340,285,170,0,2838
,Rangamati,2016,3,85,11,29,274,513,405,239,214,139,120,0,2032
,Sandwip,2016,3,13,161,34,360,392,1095,565,434,431,255,0,3743
,Sitakunda,2016,3,285,55,65,328,323,631,359,378,217,109,0,2753
,Ambagan(Ctg),2016,2,17,65,36,274,268,583,390,386,157,96,0,2274
,Dhaka,2017,0,2,100,228,188,414,584,544,381,412,6,33,2892
,Tangail,2017,0,1,61,256,242,272,503,469,290,376,17,46,2533
,Mymensingh,2017,0,0,164,319,316,530,368,436,309,341,25,34,2842
,Faridpur,2017,0,0,83,152,195,313,500,321,219,291,14,29,2117
,Madaripur,2017,0,0,105,312,212,417,471,477,264,422,17,45,2742
,Srimangal,2017,0,1,237,641,362,925,237,462,463,355,12,118,3813
,Sylhet,2017,0,137,344,874,629,1047,774,1155,571,318,3,92,5944
,Bogra,2017,0,0,99,164,386,242,504,252,259,239,3,15,2163
,Dinajpur,2017,5,0,102,192,175,159,195,655,125,144,0,0,1752
,Ishurdi,2017,1,0,21,118,111,159,456,274,278,323,19,39,1799
,Rajshahi,2017,2,0,45,80,193,141,393,219,132,237,5,20,1467
,Rangpur,2017,3,0,120,172,358,97,344,547,105,146,0,0,1892
,Sydpur,2017,3,0,50,178,260,255,335,739,107,200,0,0,2127
,Chuadanga,2017,0,0,9,157,240,132,377,199,88,251,26,53,1532
,Jessore,2017,0,0,24,138,186,245,663,311,172,383,26,30,2178
,Khulna,2017,0,2,59,99,200,356,690,313,175,322,19,51,2286
,Mongla,2017,0,0,81,55,115,335,534,355,207,342,17,59,2100
,Satkhira,2017,0,0,48,19,144,275,591,238,209,323,26,58,1931
,Barisal,2017,0,0,59,364,118,505,550,342,228,387,14,57,2624
,Bhola,2017,0,0,130,315,99,385,551,395,274,238,17,93,2497
,Khepupara,2017,0,0,150,84,82,509,1079,344,574,444,23,55,3344
,Patuakhali,2017,0,0,119,249,65,368,743,530,272,416,17,52,2831
,Chandpur,2017,0,1,147,230,197,435,647,557,379,274,14,125,3006
,Teknaf,2017,0,0,128,163,166,856,1409,767,488,164,9,28,4178
,Chittagong,2017,0,0,102,296,275,845,1008,523,560,123,2,17,3751
,Comilla,2017,0,8,231,361,222,432,676,526,282,274,5,162,3179
,Cox'sbazar,2017,0,0,216,361,143,541,1437,531,524,149,13,36,3951
,Feni,2017,0,0,169,446,220,773,1032,603,643,492,4,94,4476
,Hatiya,2017,0,0,136,379,192,553,1170,691,650,420,3,41,4235
,Kutubdia,2017,0,0,169,270,187,639,1188,444,615,170,9,30,3721
,M.court,2017,0,36,194,318,288,522,994,606,439,415,13,77,3902
,Rangamati,2017,0,0,108,388,186,1189,684,629,428,159,18,30,3819
,Sandwip,2017,0,0,190,368,331,871,1209,714,994,357,1,37,5072
,Sitakunda,2017,0,0,119,419,239,949,1313,772,835,179,1,42,4868
,Ambagan(Ctg),2017,0,0,120,419,333,753,1036,432,593,210,0,29,3925
,Dhaka,2018,0,20,3,309,392,366,354,141,76,45,13,13,1732
,Tangail,2018,0,40,24,211,336,218,329,174,202,77,5,23,1639
,Mymensingh,2018,0,10,28,238,531,303,302,193,351,121,36,18,2131
,Faridpur,2018,0,4,6,222,258,224,422,83,143,68,22,13,1465
,Madaripur,2018,0,1,1,143,378,413,457,212,168,69,9,10,1861
,Srimangal,2018,34,19,49,173,635,383,183,366,174,118,2,50,2186
,Sylhet,2018,0,39,94,330,583,789,677,410,452,139,39,29,3581
,Bogra,2018,0,35,28,128,371,255,406,177,162,70,0,18,1650
,Dinajpur,2018,0,0,29,70,155,124,165,164,195,8,0,10,920
,Ishurdi,2018,0,9,47,220,190,149,426,90,73,94,4,19,1321
,Rajshahi,2018,0,12,9,75,176,139,238,84,119,87,0,17,956
,Rangpur,2018,0,0,13,151,365,347,169,213,144,33,0,7,1442
,Sydpur,2018,0,0,25,171,144,416,207,256,245,20,0,9,1493
,Chuadanga,2018,0,3,1,105,175,216,376,155,112,55,0,25,1223
,Jessore,2018,0,3,11,186,148,101,412,130,76,63,1,11,1142
,Khulna,2018,0,0,1,64,226,266,264,107,106,36,0,3,1073
,Mongla,2018,0,0,1,69,254,526,388,254,177,100,0,2,1771
,Satkhira,2018,0,0,0,50,162,273,246,279,167,105,0,10,1292
,Barisal,2018,0,0,9,139,259,331,294,189,82,110,1,4,1418
,Bhola,2018,0,0,2,107,300,393,286,185,124,115,0,1,1513
,Khepupara,2018,0,0,0,22,246,797,1010,325,294,260,6,1,2961
,Patuakhali,2018,0,0,1,125,239,396,485,339,106,201,10,0,1902
,Chandpur,2018,0,2,5,166,451,541,420,220,79,73,14,2,1973
,Teknaf,2018,92,0,0,12,181,1001,1288,502,244,593,5,10,3928
,Chittagong,2018,13,0,20,72,388,667,807,325,148,306,2,4,2752
,Comilla,2018,0,0,21,214,406,516,268,117,121,42,0,7,1712
,Cox'sbazar,2018,26,0,0,56,172,984,1246,398,341,395,8,8,3634
,Feni,2018,0,2,16,222,418,623,572,523,196,89,0,1,2662
,Hatiya,2018,0,0,1,73,394,616,736,291,226,309,7,5,2658
,Kutubdia,2018,11,0,0,90,273,737,744,435,319,365,4,18,2996
,M.court,2018,0,2,1,162,406,519,705,327,164,101,0,1,2388
,Rangamati,2018,6,0,4,236,291,1037,504,281,336,257,0,35,2987
,Sandwip,2018,1,3,0,166,473,904,1272,621,239,251,0,0,3930
,Sitakunda,2018,18,0,0,246,279,1025,1114,454,170,218,0,3,3527
,Ambagan(Ctg),2018,13,0,12,115,348,791,751,330,152,496,2,22,3032
,Dhaka,2019,1,115,39,212,231,242,383,223,161,188,37,5,1837
,Tangail,2019,0,52,17,195,295,327,484,158,149,150,20,6,1853
,Mymensingh,2019,0,32,6,84,337,402,603,118,181,205,14,2,1984
,Faridpur,2019,0,94,10,72,164,105,284,223,117,113,39,9,1230
,Madaripur,2019,0,134,89,71,143,212,310,354,214,171,113,4,1815
,Srimangal,2019,0,42,34,131,439,465,485,177,205,205,28,3,2214
,Sylhet,2019,0,29,39,349,653,789,697,446,309,348,9,0,3668
,Bogra,2019,0,26,13,55,158,348,451,132,160,287,2,1,1633
,Dinajpur,2019,0,27,0,130,187,293,680,328,492,151,0,0,2288
,Ishurdi,2019,0,53,8,82,126,286,300,148,179,220,36,6,1444
,Rajshahi,2019,0,46,67,114,147,121,262,114,187,174,3,0,1235
,Rangpur,2019,0,28,2,141,347,288,594,223,517,149,0,0,2289
,Sydpur,2019,0,42,1,114,192,344,519,299,509,110,0,0,2130
,Chuadanga,2019,0,79,16,81,227,148,172,130,262,141,31,****,******
,Jessore,2019,0,107,68,173,122,134,219,238,209,133,75,14,1492
,Khulna,2019,0,166,74,102,104,114,335,370,283,187,175,15,1925
,Mongla,2019,0,100,41,101,82,286,301,389,290,97,265,****,******
,Satkhira,2019,0,125,86,101,117,218,143,573,245,112,172,11,1903
,Barisal,2019,0,64,29,95,139,148,454,255,238,190,365,12,1989
,Bhola,2019,0,57,44,93,146,147,407,362,268,94,259,18,1895
,Khepupara,2019,0,58,62,82,182,510,629,684,270,393,220,5,3095
,Patuakhali,2019,0,74,45,65,163,262,618,338,198,102,231,11,2107
,Chandpur,2019,0,122,42,110,214,193,394,291,143,128,91,4,1732
,Teknaf,2019,0,1,81,6,77,311,1513,677,1153,151,23,0,3993
,Chittagong,2019,0,5,8,73,206,152,1110,466,365,123,83,10,2601
,Comilla,2019,0,70,29,238,269,202,477,250,208,108,60,8,1919
,Cox'sbazar,2019,0,12,82,16,98,225,951,412,628,256,80,0,2760
,Feni,2019,0,80,34,143,199,261,802,492,324,212,52,4,2603
,Hatiya,2019,0,48,31,39,162,344,1000,509,297,209,175,8,2822
,Kutubdia,2019,0,21,46,23,94,139,1244,303,496,187,57,3,2613
,M.court,2019,0,64,45,134,291,266,729,474,423,243,201,4,2874
,Rangamati,2019,0,36,15,102,215,267,1137,355,271,170,133,5,2706
,Sandwip,2019,0,33,5,78,168,235,1226,305,486,117,78,5,2736
,Sitakunda,2019,0,35,20,222,286,250,1472,424,333,170,114,14,3340
,Ambagan(Ctg),2019,0,40,12,109,205,137,1118,530,402,206,103,8,2870
,,,,,,,,,,,,,,,
,Note: *** Means Missing Data/ Data Not Available,,,,,,,,,,,,,,
,Source : Bangladesh Meteorological Department (BMD),,,,,,,,,,,,,,
