,Satkhira,January,6,0.504,0.504,0.492,0.433,0.527,0.562,0.574,0.574,0.468,0.468,0.492,0.492,0.515,0.363,0.492,0.574,0.492,0.445,0.445,0.468,0.468,0.433,0.492,0.457,0.363,0.504,0.515,0.129,0.515,0.55,0.55,0.539,0.211,0.059,0.176,0.316,0.316,0.457,0.515,0.328,0.422,0.515,0.562,0.574,0.539,0.504,0.515,0.539,0.492,0.492,0.445,0.562,0.515,0.386,0.585,0.48,0.562,0.504,0.457,0.269,0.398,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.501,0.455,0.548,0.571,0.466,0.524,0.478,0.49,0.478,0.443,0.396,0.14,0.501,0.21,0.128,0.466,0.478,0.466,0.431,0.431,0.455,0.012,0.035,0.175,0.455,0.455,0.373,0.478,0.501,0.501,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,January,7,0.48,0.55,0.515,0.48,0.48,0.504,0.515,0.468,0.386,0.328,0.55,0.41,0.386,0.258,0.457,0.41,0.48,0.48,0.457,0.41,0.433,0.351,0.433,0.48,0.304,0.492,0.258,0.152,0.504,0.48,0.492,0.492,0.445,0.035,0.164,0.433,0.433,0.281,0.468,0.117,0.363,0.457,0.492,0.504,0.515,0.48,0.48,0.492,0.468,0.468,0.433,0.527,0.515,0.316,0.41,0.585,0.48,0.515,0.433,0.246,0.105,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.466,0.443,0.49,0.49,0.455,0.455,0.501,0.501,0.513,0.524,0.408,0.128,0.571,0.152,0.455,0.501,0.524,0.49,0.478,0.478,0.501,0.047,0.035,0.14,0.513,0.513,0.42,0.513,0.524,0.524,0.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,January,8,0.34,0.422,0.375,0.41,0.386,0.433,0.445,0.41,0.351,0.258,0.48,0.363,0.457,0.199,0.363,0.41,0.386,0.363,0.304,0.328,0.433,0.152,0.351,0.34,0.152,0.41,0.164,0.176,0.41,0.492,0.504,0.41,0.398,0.035,0.152,0.269,0.269,0.304,0.386,0.152,0.328,0.375,0.41,0.457,0.386,0.41,0.457,0.433,0.398,0.398,0.375,0.375,0.422,0.281,0.293,0.562,0.351,0.386,0.246,0.211,0.059,0.433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.431,0.408,0.431,0.385,0.42,0.396,0.478,0.431,0.478,0.559,0.396,0.105,0.408,0.128,0.326,0.49,0.501,0.396,0.466,0.455,0.524,0.058,0.035,0.21,0.49,0.49,0.373,0.478,0.478,0.513,0.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,January,9,0.141,0.258,0.246,0.258,0.304,0.281,0.316,0.269,0.222,0.164,0.375,0.34,0.293,0.129,0.293,0.316,0.234,0.211,0.269,0.234,0.152,0.07,0.152,0.293,0.304,0.316,0.129,0.211,0.269,0.258,0.281,0.281,0.246,0.082,0.129,0.234,0.234,0.164,0.293,0.152,0.234,0.281,0.316,0.351,0.281,0.281,0.293,0.304,0.281,0.281,0.246,0.34,0.304,0.258,0.351,0.363,0.304,0.246,0.222,0.082,0.047,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245,0.291,0.28,0.291,0.303,0.28,0.431,0.245,0.408,0.431,0.385,0.082,0.466,0.14,0.291,0.396,0.373,0.408,0.478,0.338,0.268,0.221,0.012,0.14,0.478,0.478,0.315,0.408,0.431,0.42,0.455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,January,10,0.035,0.152,0.129,0.152,0.187,0.199,0.211,0.117,0.082,0.129,0.293,0.152,0.152,0.035,0.129,0.141,0.152,0.117,0.141,0.129,0.082,0.023,0.07,0.105,0.152,0.129,0.129,0.117,0.141,0.129,0.152,0.129,0.082,0.023,0.082,0.129,0.129,0.023,0.176,0.035,0.117,0.152,0.152,0.164,0.152,0.141,0.152,0.164,0.152,0.152,0.141,0.164,0.176,0.152,0.246,0.363,0.176,0.152,0.129,0.07,0.047,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,0.14,0.152,0.14,0.163,0.14,0.245,0.128,0.256,0.303,0.245,0.07,0.186,0.058,0.256,0.268,0.245,0.268,0.245,0.268,0.198,0.245,0.093,0.082,0.233,0.233,0.245,0.326,0.315,0.338,0.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,January,11,0.012,0.012,0.012,0.012,0.012,0.035,0.035,0.035,0.012,0.012,0.152,0.012,0.012,0.012,0.035,0.035,0.023,0.035,0.047,0.035,0.035,0.012,0.023,0.023,0.035,0.023,0.012,0.012,0.012,0.012,0.047,0.012,0.012,0.012,0.012,0.035,0.035,0.012,0.023,0.012,0.023,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.012,0.023,0.023,0.047,0.035,0.035,0.047,0.234,0.035,0.035,0.035,0.035,0.023,0.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.012,0.012,0.012,0.023,0.012,0.152,0.035,0.152,0.128,0.117,0.047,0.058,0.035,0.152,0.14,0.14,0.128,0.128,0.14,0.117,0.082,0.058,0.047,0.117,0.117,0.117,0.175,0.152,0.198,0.128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,January,12,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.047,0.012,0.012,0.012,0.012,0.012,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.035,0.012,0.012,0.012,0.012,0.012,0.035,0.023,0.047,0.035,0.012,0.035,0.035,0.012,0.012,0.012,0.012,0.012,0.023,0.058,0.058,0.058,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,January,13,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Total,2.787,3.255,3.068,2.892,3.244,3.525,3.466,3.255,2.74,2.518,3.419,3.208,3.08,2.19,3.126,3.443,3.091,2.845,2.869,2.646,2.787,2.752,2.752,2.927,3.618,3.056,2.482,1.311,2.693,3.232,3.384,3.173,1.862,0.574,1.206,2.295,2.295,2.927,3.162,1.792,2.6,3.138,3.361,3.525,3.267,3.197,3.244,3.208,3.138,3.068,2.763,3.478,3.314,2.283,3.115,3.478,3.22,3.806,2.588,1.323,1.78,3.208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.065,2.879,3.159,3.135,3.054,3.24,3.089,3.124,3.182,3.31,2.751,0.921,3.03,1.014,1.876,3.1,3.159,3.042,3.03,2.879,2.739,0.781,0.793,1.154,2.972,2.972,2.552,3.147,3.322,3.45,3.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,February,0,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.023,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.035,0.012,**,**,0.012,0.023,0.023,0.023,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,,,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,,,,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,February,1,0.012,0.012,0.012,0.012,0.023,0.035,0.023,0.023,0.094,0.012,0.152,0.023,0.023,0.023,0.023,0.012,0.023,0.023,0.012,0.105,0.012,0.059,0.035,0.035,0.012,0.012,0.035,0.082,0.012,**,**,0.094,0.117,0.117,0.152,0.012,0.012,0.023,0.012,0.012,0.012,0.012,0.012,0.012,0.105,0.012,0.023,0.023,0.023,0.023,0.023,0.012,0.023,0.023,0.023,0.023,0.023,0.023,0.023,0.023,,,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,,,,0.012,0.012,0.012,0.012,0.012,0.023,0.035,0.047,0.012,0.012,0.012,0.023,0.023,0.082,0.058,0.047,0.023,0.023,0.035,0.035,0.012,0.023,0.023,0.023,0.012,0.035,0.023,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,February,2,0.105,0.105,0.117,0.117,0.164,0.164,0.152,0.117,0.269,0.094,0.363,0.176,0.152,0.187,0.199,0.094,0.117,0.117,0.023,0.117,0.105,0.141,0.129,0.152,0.012,0.035,0.082,0.269,0.152,**,**,0.281,0.269,0.293,0.328,0.105,0.117,0.129,0.129,0.105,0.082,0.152,0.129,0.152,0.164,0.105,0.117,0.117,0.105,0.105,0.105,0.082,0.105,0.105,0.105,0.094,0.105,0.105,0.105,0.105,,,0.012,0.012,0.012,0.012,0.012,0.023,0.012,0.047,0.012,0.012,0.012,0.023,0.082,0.058,0.023,0.047,0.023,0.023,0.035,0.035,0.012,0.023,0.023,0.023,0.012,0.035,0.023,0.023,,,,0.105,0.105,0.105,0.128,0.105,0.128,0.128,0.152,0.128,0.023,0.07,0.128,0.128,0.198,0.186,0.128,0.175,0.128,0.198,0.163,0.058,0.14,0.082,0.082,0.058,0.152,0.128,0.198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,February,3,0.176,0.293,0.293,0.293,0.269,0.316,0.328,0.222,0.363,0.34,0.504,0.363,0.363,0.375,0.281,0.141,0.304,0.293,0.117,0.234,0.117,0.222,0.211,0.281,0.012,0.082,0.269,0.515,0.445,**,**,0.422,0.433,0.445,0.468,0.152,0.164,0.211,0.035,0.269,0.293,0.304,0.304,0.34,0.386,0.211,0.304,0.539,0.258,0.258,0.258,0.222,0.258,0.269,0.258,0.258,0.269,0.258,0.258,0.258,,,0.105,0.105,0.105,0.128,0.105,0.128,0.128,0.152,0.128,0.023,0.07,0.128,0.198,0.186,0.152,0.128,0.175,0.128,0.198,0.163,0.058,0.14,0.082,0.082,0.058,0.152,0.128,0.198,,,,0.338,0.105,0.21,0.221,0.245,0.221,0.245,0.291,0.326,0.082,0.128,0.303,0.303,0.361,0.373,0.361,0.28,0.303,0.361,0.338,0.152,0.186,0.128,0.361,0.221,0.338,0.28,0.361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,February,4,0.363,0.41,0.445,0.445,0.386,0.41,0.375,0.304,0.34,0.422,0.585,0.492,0.433,0.445,0.422,0.129,0.433,0.422,0.258,0.351,0.152,0.363,0.386,0.445,0.059,0.035,0.519,0.621,0.504,**,**,0.562,0.504,0.492,0.585,0.34,0.258,0.363,0.012,0.351,0.433,0.48,0.585,0.445,0.504,0.433,0.386,0.269,0.445,0.445,0.445,0.281,0.445,0.316,0.445,0.281,0.316,0.445,0.445,0.445,,,0.338,0.105,0.21,0.221,0.245,0.221,0.245,0.291,0.326,0.082,0.128,0.303,0.361,0.373,0.361,0.361,0.28,0.303,0.361,0.338,0.152,0.186,0.128,0.361,0.221,0.338,0.28,0.361,,,,0.385,0.408,0.268,0.256,0.361,0.361,0.408,0.42,0.431,0.117,0.303,0.443,0.443,0.466,0.513,0.455,0.408,0.385,0.443,0.42,0.524,0.466,0.385,0.431,0.245,0.455,0.42,0.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,February,5,0.457,0.468,0.527,0.527,0.562,0.831,0.48,0.41,0.492,0.585,0.597,0.55,0.504,0.48,0.48,0.059,0.504,0.539,0.375,0.492,0.433,0.492,0.445,0.48,0.152,0.117,0.621,0.703,0.445,**,**,0.597,0.55,0.597,0.621,0.351,0.386,0.492,0.094,0.504,0.48,0.562,0.527,0.515,0.527,0.527,0.48,0.48,0.48,0.48,0.48,0.468,0.48,0.433,0.48,0.539,0.433,0.363,0.48,0.48,,,0.385,0.408,0.268,0.256,0.361,0.361,0.408,0.42,0.431,0.117,0.303,0.443,0.466,0.513,0.478,0.455,0.408,0.385,0.443,0.42,0.524,0.466,0.385,0.431,0.245,0.455,0.42,0.431,,,,0.501,0.478,0.256,0.082,0.478,0.513,0.524,0.478,0.478,0.128,0.338,0.548,0.548,0.559,0.571,0.536,0.524,0.501,0.513,0.128,0.559,0.501,0.536,0.513,0.233,0.513,0.466,0.478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,February,6,0.504,0.539,0.539,0.539,0.574,0.527,0.504,0.48,0.468,0.574,0.562,0.234,0.597,0.609,0.574,0.234,0.574,0.55,0.504,0.422,0.515,0.585,0.504,0.515,0.082,0.269,0.703,0.363,0.234,**,**,0.562,0.539,0.527,0.422,0.433,0.41,0.234,0.035,0.527,0.585,0.585,0.562,0.515,0.48,0.539,0.515,0.199,0.504,0.504,0.504,0.398,0.504,0.585,0.504,0.504,0.597,0.504,0.504,0.504,,,0.501,0.478,0.256,0.082,0.478,0.513,0.524,0.478,0.478,0.128,0.338,0.548,0.559,0.571,0.559,0.536,0.524,0.501,0.513,0.128,0.559,0.501,0.536,0.513,0.233,0.513,0.466,0.478,,,,0.524,0.501,0.221,0.012,0.594,0.594,0.571,0.501,0.548,0.152,0.42,0.618,0.618,0.606,0.606,0.571,0.548,0.536,0.571,0.117,0.618,0.478,0.513,0.583,0.559,0.221,0.548,0.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,February,7,0.527,0.55,0.504,0.504,0.55,0.48,0.492,0.515,0.293,0.515,0.48,0.574,0.585,1.159,0.539,0.187,0.515,0.492,0.55,0.351,0.433,0.48,0.527,0.527,0.047,0.445,0.363,0.609,0.398,**,**,0.527,0.457,0.468,0.468,0.386,0.41,0.152,0.012,0.504,0.48,0.55,0.597,0.504,0.398,0.504,0.515,0.515,0.48,0.48,0.48,0.105,0.48,0.41,0.48,0.48,0.41,0.48,0.48,0.48,,,0.524,0.501,0.221,0.012,0.594,0.594,0.571,0.501,0.548,0.152,0.42,0.618,0.606,0.606,0.594,0.571,0.548,0.536,0.571,0.117,0.618,0.478,0.513,0.583,0.559,0.221,0.548,0.536,,,,0.478,0.501,0.338,0.012,0.536,0.536,0.548,0.478,0.536,0.14,0.443,0.594,0.594,0.583,0.571,0.536,0.513,0.49,0.536,0.07,0.548,0.478,0.49,0.548,0.245,0.583,0.501,0.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Satkhira,February,8,0.48,0.527,0.433,0.433,0.48,0.351,0.269,0.246,0.281,0.527,0.34,0.457,0.504,0.492,0.445,0.152,0.48,0.457,0.539,0.281,0.363,0.433,0.527,0.48,0.059,0.012,0.609,0.281,0.621,**,**,0.363,0.351,0.351,0.328,0.304,0.363,0.105,0.012,0.34,0.422,0.422,0.433,0.422,0.293,0.433,0.422,1.768,0.41,0.41,0.41,0.059,0.41,0.293,0.41,0.41,0.293,0.597,0.41,0.41,,,0.478,0.501,0.338,0.012,0.536,0.536,0.548,0.478,0.536,0.14,0.443,0.594,0.583,0.571,0.559,0.536,0.513,0.49,0.536,0.07,0.548,0.478,0.49,0.548,0.245,0.583,0.501,0.664,,,,0.455,0.431,0.361,0.058,0.455,0.478,0.466,0.42,0.455,0.105,0.338,0.466,0.466,0.478,0.536,0.431,0.408,0.385,0.478,0.035,0.396,0.221,0.361,0.49,0.21,0.559,0.455,0.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
