,"Pipe Ghat, (U.S)",0.16,,,,,,,,,,,,,,
,"PipeGhat, (D.S)",0.18,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Modhumoti River,,,,,,,,,,,,,,,
,Bagerhat (O.S),0.2,,,,,,,,,,,,,,
,Bagerhat (M.S),0.22,,,,,,,,,,,,,,
,Bagerhat (O.S),0.22,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Moyuri River,,,,,,,,,,,,,,,
,Gallamari Bridge (S),1.02,,,,,,,,,,,,,,
,Gallamari Bridge (M),1.04,,,,,,,,,,,,,,
,Gallamari Bridge (O),1.04,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Pashur River,,,,,,,,,,,,,,,
,Mongla Poart (S.P),5.23,,,,,,,,,,,,,,
,Mongla Poart (M.P),5.22,,,,,,,,,,,,,,
,Mongla Poart (O.P),5.23,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Rupsha River,,,,,,,,,,,,,,,
,Rupsha Ghat (S),4.15,,,,,,,,,,,,,,
,Rupsha Ghat (M),4.15,,,,,,,,,,,,,,
,Rupsha Ghat (O),4.15,,,,,,,,,,,,,,
,Labanchara Ghat (S),4.19,,,,,,,,,,,,,,
,Labanchara Ghat (M),4.19,,,,,,,,,,,,,,
,Labanchara Ghat (O),4.19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Khakshiali River,,,,,,,,,,,,,,,
,Kaliganj (S.P),6.25,,,,,,,,,,,,,,
,Kaliganj (M.P),6.23,,,,,,,,,,,,,,
,Kaliganj (O.P),6.25,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Kirtonkhola River,,,,,,,,,,,,,,,
,Launch Ghat (S),,,,,,,,,,,,,,,
,Launch Ghat (M),,,,,,,,,,,,,,,
,Dopdopia Kheyaghat (S),,,,,,,,,,,,,,,
,Dopdopia Kheyaghat (M),,,,,,,,,,,,,,,
,Beltola Fery Gaht (S),,,,,,,,,,,,,,,
,Beltola Fery Gaht (M),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Tatulia River,,,,,,,,,,,,,,,
,Vadura Launch Ghat (S),,,,,,,,,,,,,,,
,Vadura Launch Ghat (M),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Sugandha River,,,,,,,,,,,,,,,
,Jhalkathi L.G (S),,,,,,,,,,,,,,,
,Jhalkathi L.G (M),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Lohalia River,,,,,,,,,,,,,,,
,Patuakhali Launch Ghat (S),,,,,,,,,,,,,,,
,Patuakhali Launch Ghat (M),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Korotoa River,,,,,,,,,,,,,,,
,"Near Dutta Bari Bridge, Bogra (Up stream)",,,,,,,,,,,,,,,
,"Near Dutta Bari Bridge, Bogra (Down stream)",,,,,,,,,,,,,,,
,"Near Foteh Ali Bridge, Bogra (Up stream)",,,,,,,,,,,,,,,
,"Near Foteh Ali Bridge, Bogra (Down stream)",,,,,,,,,,,,,,,
,"Near Matidali Bridge, Bogra (Up stream)",,,,,,,,,,,,,,,
,"Near Matidali Bridge, Bogra (Down stream)",,,,,,,,,,,,,,,
,"Near S.P Bridge, Bogra (Up stream)",,,,,,,,,,,,,,,
,"Near S.P Bridge, Bogra (Down stream)",,,,,,,,,,,,,,,
,"Shahjadpur, Sirajgonj (Up stream)",,,,,,,,,,,,,,,
,"Shahjadpur, Sirajgonj (Down stream)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Teesta River,,,,,,,,,,,,,,,
,Near Tista Bridge (U.S),,,,,,,,,,,,,,,
,Near Tista Bridge (D.S),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Surma River,,,,,,,,,,,,,,,
,Mendibag Point,,,,,,,,,,,,,,,
,Kin Bridge Point,,,,,,,,,,,,,,,
,Sheaik Ghat,,,,,,,,,,,,,,,
,Chhatak,,,,,,,,,,,,,,,
,Kazir Bazar,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Kushiara River,,,,,,,,,,,,,,,
,BSF Ghat,,,,,,,,,,,,,,,
,BDR Camp,,,,,,,,,,,,,,,
,Fenchuganj Point,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
