,,,,,,,,,,,,,,,
,"Monthly & Yearly Average Humidity in percent by Station, 2020-2024",,,,,,,,,,,,,,
,Dinajpur,2021,83,73,66,69,78,81,82,86,81,83,77,76,77
,Dinajpur,2022,84,76,69,79,79,83,78,80,84,79,76,78,78
,Dinajpur,2023,81,73,69,66,67,73,80,83,84,82,76,80,76
,Dinajpur,2024,86,71,68,61,70,82,81,81,82,83,79,78,76
,Ishurdi,2020,83,75,70,70,79,83,85,83,86,83,77,81,79
,Ishurdi,2021,82,72,66,65,77,83,83,84,83,82,78,79,77
,Ishurdi,2022,82,77,67,74,79,81,79,81,85,82,77,79,78
,Ishurdi,2023,82,75,70,61,71,76,82,84,84,83,80,82,77
,Ishurdi,2024,84,76,70,56,70,78,82,85,85,86,81,80,77
,Rajshahi,2020,83,74,70,70,81,85,88,85,88,84,77,81,80
,Rajshahi,2021,83,71,67,66,80,86,85,88,87,84,79,79,79
,Rajshahi,2022,82,77,67,74,80,83,80,83,87,81,76,78,79
,Rajshahi,2023,81,73,71,64,72,78,82,85,86,84,80,82,78
,Rajshahi,2024,85,76,71,58,73,79,84,87,86,87,81,80,78
,Rangpur,2020,83,75,70,72,80,84,86,81,88,81,74,81,79
,Rangpur,2021,84,73,68,70,79,81,81,86,83,83,78,77,78
,Rangpur,2022,82,76,71,82,80,85,79,80,84,79,76,80,79
,Rangpur,2023,82,75,71,68,69,78,80,83,81,81,75,80,76
,Rangpur,2024,87,73,69,62,71,83,81,81,81,83,77,80,77
,sydpur,2020,81,72,69,71,80,84,85,80,87,80,74,80,78
,sydpur,2021,82,72,66,69,78,80,81,84,81,82,77,76,77
,sydpur,2022,81,75,70,80,79,82,77,79,82,79,76,79,78
,sydpur,2023,80,73,69,68,68,76,80,82,81,80,73,77,75
,sydpur,2024,83,71,67,60,68,80,79,79,79,81,76,77,75
,chuadanga,2020,83,75,70,72,80,84,85,86,86,84,78,82,80
,chuadanga,2021,82,73,68,65,76,85,86,87,85,83,82,84,79
,chuadanga,2022,83,79,72,75,79,80,81,83,85,81,78,81,79
,chuadanga,2023,83,75,69,62,72,78,82,85,85,82,80,83,78
,chuadanga,2024,86,76,73,59,71,78,82,87,85,86,81,80,78
,Jessore,2020,79,72,68,71,76,83,82,84,83,83,76,78,77
,Jessore,2021,77,69,65,66,74,84,84,85,84,81,80,84,77
,Jessore,2022,82,79,72,76,77,79,79,81,83,81,78,79,78
,Jessore,2023,81,74,70,66,73,79,80,84,84,81,80,82,77
,Jessore,2024,83,77,72,66,73,78,84,85,84,85,81,80,79
,Khulna,2020,80,72,66,72,76,83,84,85,84,82,74,79,78
,Khulna,2021,78,72,69,66,72,84,85,85,85,82,75,80,77
,Khulna,2022,78,74,69,74,74,79,79,82,82,80,76,82,77
,Khulna,2023,81,75,75,68,71,80,82,85,85,79,78,82,78
,Khulna,2024,83,75,72,68,75,80,87,88,84,84,76,76,79
,Mongla,2020,81,72,69,76,80,87,88,89,88,87,77,78,81
,Mongla,2021,77,71,72,73,78,88,89,89,88,86,79,80,80
,Mongla,2022,78,75,71,77,79,84,84,87,87,84,77,78,80
,Mongla,2023,79,74,73,74,79,86,86,89,89,84,81,81,81
,Mongla,2024,82,77,74,73,80,84,89,91,88,87,80,76,81
,Satkhira,2020,80,72,69,72,77,83,82,85,82,81,74,78,77
,Satkhira,2021,77,72,71,68,73,84,84,84,85,81,76,80,77
,Satkhira,2022,78,75,69,74,75,79,82,82,83,81,74,77,77
,Satkhira,2023,79,73,71,69,72,79,82,83,84,80,78,79,77
,Satkhira,2024,81,76,74,68,74,78,85,88,84,84,78,76,78
,Barisal,2020,85,75,70,78,80,88,87,88,87,87,82,83,82
,Barisal,2021,81,75,73,73,78,90,88,88,86,86,82,84,82
,Barisal,2022,83,77,73,79,83,86,82,84,87,85,81,83,81
,Barisal,2023,82,77,75,73,77,85,85,91,89,86,84,85,82
,Barisal,2024,85,75,73,74,78,81,86,91,86,86,80,79,81
,Bhola,2020,83,74,69,79,79,87,87,88,86,86,83,84,82
,Bhola,2021,82,76,75,75,78,89,88,88,87,86,81,84,82
,Bhola,2022,84,78,72,79,82,86,84,85,87,85,81,85,82
,Bhola,2023,84,77,77,76,80,86,84,89,88,86,85,86,83
,Bhola,2024,86,78,76,77,81,84,87,91,87,88,82,82,83
,Khepupara,2020,80,73,74,81,80,88,86,89,87,87,82,81,82
,Khepupara,2021,78,73,76,74,78,87,87,89,89,87,80,82,81
,Khepupara,2022,82,77,72,78,81,84,85,86,87,85,81,82,81
,Khepupara,2023,80,79,79,78,80,86,87,91,90,88,87,84,84
,Khepupara,2024,83,77,80,77,83,84,89,91,88,85,80,75,82
,Patuakhali,2020,87,80,79,88,85,92,89,91,88,89,87,85,86
,Patuakhali,2021,87,77,82,84,90,93,90,90,88,85,79,83,85
,Patuakhali,2022,81,75,68,78,82,86,87,88,89,86,81,81,81
,Patuakhali,2023,81,75,77,77,80,87,88,90,89,86,84,84,83
,Patuakhali,2024,83,75,74,76,82,84,89,92,88,87,83,84,83
,Chandpur,2020,81,70,64,79,79,85,86,86,84,83,76,79,79
,Chandpur,2021,78,71,68,70,75,88,85,86,85,83,78,81,79
,Chandpur,2022,79,73,65,78,80,85,81,83,86,82,75,80,78
,Chandpur,2023,80,73,72,72,77,86,84,90,86,82,79,84,80
,Chandpur,2024,84,75,73,77,79,84,85,90,87,86,78,79,81
,Teknaf,2020,70,67,64,74,74,83,86,86,83,82,80,73,76
,Teknaf,2021,73,70,75,76,77,88,89,87,85,84,82,73,79
,Teknaf,2022,70,74,66,77,82,87,84,86,86,83,77,75,78
,Teknaf,2023,71,72,71,75,79,86,85,***,***,***,***,***,***
,Teknaf,2024,74,75,77,77,81,***,***,***,***,***,***,***,***
,Ambagan(Ctg),2020,77,65,65,80,82,86,87,85,85,83,80,80,79
,Ambagan(Ctg),2021,73,67,69,75,75,86,86,86,82,83,73,75,77
,Ambagan(Ctg),2022,74,63,67,83,84,87,85,83,85,82,75,75,78
,Ambagan(Ctg),2023,72,69,68,73,77,85,81,89,86,87,83,83,79
,Ambagan(Ctg),2024,81,70,65,69,77,83,86,91,85,83,74,68,77
,Comilla,2020,79,69,66,79,80,85,86,85,85,84,77,80,79
,Comilla,2021,78,71,72,73,75,86,85,86,83,82,78,80,79
,Comilla,2022,79,73,70,81,83,86,83,82,86,82,75,80,80
,Comilla,2023,77,74,74,73,74,84,82,86,84,82,79,82,79
,Comilla,2024,84,72,75,77,78,85,84,86,82,81,76,76,79
,Cox's Bazar,2020,73,67,66,75,77,86,88,88,85,82,77,72,78
,Cox's Bazar,2021,67,69,71,75,75,88,88,88,83,83,70,72,77
,Cox's Bazar,2022,73,65,70,76,80,86,82,83,85,79,72,70,76
,Cox's Bazar,2023,67,68,66,71,77,83,83,89,85,81,75,75,76
,Cox's Bazar,2024,70,65,66,72,75,84,88,89,85,79,70,65,75
,Feni,2020,79,69,64,75,77,84,84,82,83,83,78,80,78
,Feni,2021,75,70,69,68,71,85,84,85,80,81,76,78,76
,Feni,2022,78,70,66,74,79,83,79,79,85,80,76,78,77
,Feni,2023,76,69,69,68,73,82,80,86,83,82,78,79,77
,Feni,2024,80,73,71,73,76,84,83,87,81,81,77,77,78
,Hatiya,2020,85,80,77,84,83,90,92,91,91,89,85,84,85
,Hatiya,2021,82,77,78,77,82,91,90,90,89,89,83,85,84
,Hatiya,2022,85,78,73,80,82,89,86,88,89,86,83,84,83
,Hatiya,2023,81,80,78,78,82,89,86,91,89,89,86,85,84
,Hatiya,2024,85,79,78,80,83,88,90,92,***,***,***,***,***
,Kutubdia,2020,77,73,73,77,79,83,85,86,85,83,79,75,79
,Kutubdia,2021,74,73,75,77,76,86,86,86,83,82,74,75,78
,Kutubdia,2022,74,77,83,80,80,83,80,81,83,80,76,74,79
,Kutubdia,2023,73,74,74,75,76,81,80,85,83,82,80,78,78
,Kutubdia,2024,76,75,73,75,78,82,85,87,84,82,75,71,78
,M.court,2020,84,72,68,78,78,86,86,86,85,84,80,80,80
,M.court,2021,76,69,71,70,75,88,86,87,84,82,76,81,78
,M.court,2022,81,75,70,80,82,85,81,82,87,83,80,82,80
,M.court,2023,80,76,77,75,79,87,83,88,87,82,80,80,81
,M.court,2024,81,74,73,75,79,83,86,90,84,83,75,74,79
,Rangamati,2020,77,70,61,71,71,77,77,75,76,76,79,78,74
,Rangamati,2021,75,68,62,64,66,80,79,77,75,77,79,79,73
,Rangamati,2022,76,66,64,68,78,75,65,74,71,69,72,74,71
,Rangamati,2023,72,65,66,64,68,76,70,77,72,71,69,74,70
,Rangamati,2024,77,68,65,63,68,75,79,86,79,81,79,80,75
,Sandwip,2020,82,76,71,81,81,88,88,87,88,86,86,84,83
,Sandwip,2021,80,75,76,76,78,88,88,88,84,84,81,81,81
,Sandwip,2022,82,74,71,80,83,87,83,84,88,86,83,83,82
,Sandwip,2023,81,76,78,77,80,86,85,90,86,87,84,83,82
,Sandwip,2024,84,77,75,78,81,86,88,91,86,87,82,81,83
,Chittagong,2020,73,65,63,76,76,84,86,86,84,81,74,74,76
,Chittagong,2021,70,67,66,72,74,85,86,87,82,80,68,73,75
,Chittagong,2022,72,63,69,78,81,86,80,80,84,78,69,71,75
,Chittagong,2023,67,69,68,71,77,86,84,90,88,84,81,79,78
,Chittagong,2024,75,70,68,76,83,87,86,89,84,79,68,65,77
,Sitakunda,2020,81,73,70,82,81,86,87,86,87,85,82,81,81
,Sitakunda,2021,82,75,75,73,73,80,75,74,71,74,74,72,74
,Sitakunda,2022,73,66,59,67,71,71,65,66,67,66,66,61,66
,Sitakunda,2023,60,62,62,65,66,72,71,76,71,70,66,65,67
,Sitakunda,2024,65,59,59,63,73,79,78,81,70,70,74,68,69
,,,,,,,,,,,,,,,
,Note: *** Means Missing Data/ Data Not Available,,,,,,,,,,,,,,
,Source : Bangladesh Meteorological Department (BMD),,,,,,,,,,,,,,
