Stations,Year,Month,Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Ambagan(Ctg),2008,11,9.7,8.6,10.2,0.1,0,9,10,9.9,9.8,10.1,10.2,9.8,****,7.7,6.8,3.2,9.8,10,10,10,7.6,8.4,9.2,9.5,9.6,9.3,9.6,9.6,9.5,9.2,
Ambagan(Ctg),2008,12,8.6,8.6,7.7,7.2,9,8.2,8.2,7.2,3.6,7.1,7.1,7.4,6.7,8,8.4,6.3,5.7,6.3,3.4,3.8,0,0,6.6,6.1,1.9,5.8,3.4,2.8,7.5,8.5,8.7
Ambagan(Ctg),2009,1,8.4,8.8,9.3,8.9,7.3,7.3,7.9,8.3,7.8,8.3,7.9,8.1,8.9,8.5,7.9,9,8.5,9.1,5.5,8.5,7.8,6,5.4,4.1,3.9,6.7,7.3,9.1,8.6,6.6,6.6
Ambagan(Ctg),2009,2,8.6,9.4,8.9,8.4,8.3,8.5,9.4,9,9.3,9.5,9.6,3.7,7.9,9.4,9.7,9.9,9.7,9.9,9.8,9.7,9.8,9,9.2,5.9,0.8,5.1,7.1,6.2,,,
Ambagan(Ctg),2009,3,7.2,9.9,9.2,7.5,8.1,8,8.8,9.3,8.9,6,2.2,4.7,8,6.4,1.7,0,4.7,6.8,6.8,8.6,8,8,8.7,9.2,9.1,4.5,6,8,9.5,7.9,1.9
Ambagan(Ctg),2009,4,9.8,10.1,9.3,9.5,9.4,8.8,9.3,7.5,8,9,8.6,9.7,10.3,9.9,10.9,1.7,0.3,6.5,4.5,7.4,7.6,5.4,4.7,9.6,9,9.9,9.8,10.4,9.9,10.5,
Ambagan(Ctg),2009,5,9.3,5.7,5.3,10.8,9.3,9.5,9.1,9.6,9.9,10.3,7.5,10.6,9.6,3,9.8,3.3,7.1,2.2,8.6,11.2,11.3,11.9,9.4,4.7,0,0.2,4.7,10.8,9.3,4.4,0.1
Ambagan(Ctg),2009,6,1.8,2.4,1.7,10.2,9.6,4.8,5.6,0,8.1,9.8,10.8,11.3,10.5,9.2,10.7,8.5,6.8,5.5,7,0.8,8.2,5.2,9.8,8.6,9.7,7,6,0.3,0.7,0.3,
Ambagan(Ctg),2009,7,0,0.4,4.9,8.8,6.8,1.8,0,1.5,0.4,0,2.8,10.4,9.8,7.2,0,1.3,11.8,10.3,10.7,7.2,4.3,4.2,6.9,10.3,10.8,3.2,0,0,0,0,0
Ambagan(Ctg),2009,8,3.3,3.9,8.4,9.2,3.9,0,6,10,9.6,5.7,0.3,0,2,0,0.2,0,3.8,5.9,3.6,0.4,0,0.2,1.6,3.7,7.7,1.3,0,11.2,8,1.2,7.7
Ambagan(Ctg),2009,9,9.1,7,6.7,3.3,4,4.4,6.7,0,0,4.7,8,8.3,2.2,1.6,2.4,3.4,5.5,6.2,5.2,0,0.9,6,5.9,6.7,8,10.1,0.9,3.8,8.6,9.4,
Ambagan(Ctg),2009,10,7.2,7.9,1,4.5,7.3,4.4,7.5,4.9,0,5.1,3,8.8,9.6,8.4,1.2,0,9.1,8.9,5.3,9.9,9.8,10.2,9.9,9.2,10.4,10.3,10.3,10.1,9.2,10.4,10.4
Ambagan(Ctg),2009,11,10.4,10.1,5.5,5.9,0.2,9.1,9.8,9.9,9.9,8.1,8.8,7.9,9.6,9.7,5.7,4.3,9.2,0.5,0,9.3,9.6,9.4,8.7,7,8.8,9.3,9.5,9.7,9.8,9.7,
Ambagan(Ctg),2009,12,9.3,9.4,9.4,8,8.5,8.3,5.9,5.5,7.5,7.3,6.6,6.8,7,8.4,8.6,7.7,4.3,8.8,8.3,9.1,9,9.2,9.2,7.5,7.3,7.9,8.5,7.8,8.6,8.6,6.7
Ambagan(Ctg),2010,1,8.5,5.9,8.7,6.2,7.7,8.1,9.2,9.7,8.9,9,7.7,9.1,7.1,1.4,8,6.5,3.1,0,5.2,6.6,7.3,9.5,9.8,9.7,10.1,9.3,9.1,9.6,9.9,9.5,9.3
Ambagan(Ctg),2010,2,9.3,9.9,9.6,10,9.8,9.8,10.1,9.2,6,8.7,8.6,10.1,8.8,9.3,8.6,5.6,2.4,3,10.1,8.4,8.7,9.7,9.4,9.5,7.1,9.4,9.4,8.9,,,
Ambagan(Ctg),2010,3,8.5,8.9,6.5,6.4,6.3,3.9,8.1,5.4,9.6,9.6,9.7,9.2,5.6,7.8,8.5,8.5,8.3,8.1,9.2,9.1,9.4,9.3,8,7.8,9.1,7.8,7.6,6.1,8.4,3.6,0.2
Ambagan(Ctg),2010,4,5.7,8.3,9.3,8.4,8.9,8.1,7.7,8.1,7.1,7.6,7.5,8.9,9.7,8.7,8.1,9,9.6,6.4,7.6,5.7,4.6,7.8,7,7.9,5.5,10.1,10.7,5.2,4.1,9.1,
Ambagan(Ctg),2010,5,9.7,9.6,9.5,6.3,6.2,5,10.5,10.3,8.7,7.7,10.3,8.5,10.6,10.2,10.8,10.6,11.1,8,3.8,4.1,0.5,0.1,0,0,7.5,4.7,6.6,0.7,****,4.4,0
Ambagan(Ctg),2010,6,2.6,7.1,3.3,3.5,5.6,1,6.6,9.2,10.7,6.3,6.9,4.2,0.4,0,0,3.8,2.4,0.3,0.2,6.3,6,1.6,10.1,3.1,0,0,8.4,7.7,0.2,2.3,
Ambagan(Ctg),2010,7,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
Ambagan(Ctg),2010,8,7,10.7,6.9,7.6,6.6,6.4,7.7,8.5,5.7,3.4,4,2.5,0.8,0.1,4.4,3.5,2.3,3.3,1.8,7.8,5.7,4.5,7.8,5,7,4.3,0,1.2,9.4,8.4,9.5
Ambagan(Ctg),2010,9,10.3,8.7,4.4,9,8.7,9.4,5.6,8.6,9.5,6.7,4.6,5.5,2.7,3.1,2.5,6.3,5.3,7.2,7.6,3.2,3.6,2.2,8.7,6.6,0.1,3.6,6.7,5.8,8.6,8,
Ambagan(Ctg),2010,10,8.6,10,8.6,9.3,4.6,0,0,0,0.8,3.9,8.5,6.9,7.5,3.7,9.8,9.2,9.8,8.9,7.6,6.7,8.4,5.6,6.8,1.9,5.5,6.4,6.8,8.8,9.7,10,9.8
Ambagan(Ctg),2010,11,7.5,7.9,9.2,10.3,10.4,8.6,9.6,9,9.9,9.9,8.7,7.9,8.7,9.7,10,9.6,8,8.2,6.7,6.3,1.3,7.9,9.3,9.5,9.6,8,4.9,7.5,7.6,8.9,
Ambagan(Ctg),2010,12,9,9.1,9.1,9.1,0,5.4,9.5,6.1,0,1.5,7.1,8.3,6.7,7.5,8.8,9.1,9.6,9.6,9.9,9.4,8.9,7.8,6.7,7.6,8.8,8.9,9,9.6,9.4,9.2,7.8
Ambagan(Ctg),2011,1,7.3,3.2,8.3,5.1,6.8,6,8.7,7.2,7,8.2,6.9,5.9,4.6,6.7,8.6,6.4,3.3,8.4,7.5,8.2,7.9,8,8.2,8.8,8.2,9.5,7.6,9.1,10,9,8.2
Ambagan(Ctg),2011,2,8.5,8,8.3,7.8,10,9.2,9.2,9.1,6.2,8.9,9.7,9.5,9.1,7.1,8.3,6.2,8.1,6.4,8,3.6,0.2,9,10.1,9.7,9.4,9.2,9.7,10.2,,,
Ambagan(Ctg),2011,3,10.2,1,9.8,9.7,8.6,8.8,9.9,8.7,9.8,9.7,6,8.9,8.2,8.5,8.8,2.2,9.6,9.2,7.2,7.1,7.4,9.1,9,7.1,8.4,9.1,5.5,6.8,5.8,3.1,4.7
Ambagan(Ctg),2011,4,9,8.7,7.1,8.9,9.5,9.5,10,9.2,7.6,2,3.5,9,7,6.5,9.3,9,9.5,9.9,9.4,7.5,8.6,5.9,0.1,0,8.2,3.3,3.6,9.3,5.9,9.6,
Ambagan(Ctg),2011,5,11.4,9.4,9.5,4.6,6.4,5.4,9.5,7.8,8.9,10,6.8,9.1,9.4,7,10.4,10.2,5.9,5.5,0,7.7,8.1,1.9,5.4,8.9,5.1,6.6,2.7,3.8,2.2,0.4,2.6
Ambagan(Ctg),2011,6,7.5,10.2,9.6,9.9,9.3,11,7.2,0.4,0,0.9,6,10.2,6.8,0,4.6,0.2,0,0,6.1,4.9,2.8,5.1,8.2,0.6,0.1,0,0.3,0,0.4,0,
Ambagan(Ctg),2011,7,0,0,1.1,3.3,11.5,10.5,9.3,10.3,9.8,6.5,7.6,7.2,6.9,3.3,6.4,0.8,6.2,2.8,0,0.3,0,5.1,0.7,5.9,6.3,6.1,7.3,6.5,8.4,9.6,7.4
Ambagan(Ctg),2011,8,3,1.9,5.1,0.9,0,1.1,0.1,0,0,0,3.5,8.8,0,3,3.9,2.5,0,6.3,9.7,6.7,4.5,5.7,5.5,2.9,9.3,1.8,5.1,7.8,0,7.8,7.7
Ambagan(Ctg),2011,9,5.9,0.8,8.7,8,7.2,7,0,0,1.5,8.1,9.5,9.5,1.3,0.4,0.9,0,0.1,6.2,9,4.7,6.1,7.8,3.9,4.2,10.1,9.2,8.6,4.7,5.8,3.9,
Ambagan(Ctg),2011,10,4.7,4.2,4.5,3,6.6,6.5,6.3,7.2,7.1,6,8.9,9.7,10,8.7,6.2,8.1,2.9,0,0,9.5,6.7,3.2,5.9,9.8,10.4,9.3,8.7,10.1,9.8,9.2,9
Ambagan(Ctg),2011,11,5.7,9.2,8.8,8,8.3,6.7,6.3,8.9,9.5,8.4,8.3,9.1,9.1,9.8,9.3,7.9,6.6,7.3,9.3,8.8,9.2,9.8,9.8,9.9,9.7,9.7,9.4,6.8,5.5,6.8,
Ambagan(Ctg),2011,12,9.1,8.7,2.8,1.9,6.6,8,9.3,9.6,8.8,8.1,8.6,8.1,7.5,6.2,7.6,6.6,5.8,3.8,4.4,4.8,5.8,2.9,0,0.1,2.7,8.4,7.8,0.1,0.2,8.5,9.4
Ambagan(Ctg),2012,1,7.8,0.5,6.7,5.2,7,4.4,0.2,1.4,6.4,5.2,2.3,4.3,7.7,6.8,8,7.5,8.3,8.8,8.3,7.1,5,7.9,9,8.8,9,8.6,8.6,9.6,9.7,9.2,9.2
Ambagan(Ctg),2012,2,9.2,9.5,9.6,9.5,8.9,9.1,9.2,8.2,8.9,4.8,7.7,9.4,9.5,9.5,8.5,7.5,9.1,9.4,9.6,9.6,9,8.2,8,8.9,9.5,9.5,8.5,9,2.1,,
Ambagan(Ctg),2012,3,6.8,5.6,1.7,9.3,8.4,6.7,4.5,7.4,8.8,8,9.6,9.5,2.6,8.3,8.1,8.2,9,7.2,8.7,8.2,5.8,7.5,6.5,9.1,8.3,8.3,7.8,8.9,7.5,7.7,6.3
Ambagan(Ctg),2012,4,8.4,7.6,5.3,4.5,4.3,1.5,4.8,8.5,2.9,7.9,10.5,4.6,1.4,10.5,9.5,8.8,8.4,9.7,9.5,7.7,7.8,9.6,4,9.7,10.5,9.8,2.9,2.2,3.1,5.6,
Ambagan(Ctg),2012,5,1.9,7.7,10.6,4.1,10.8,10.1,10.8,9.5,9.3,8.8,10.3,8.7,3.7,6.5,9.3,1.3,8.6,10.2,6.9,8,10.1,10.1,9.8,9,8.7,6.8,9.2,5.7,8,5,4.2
Ambagan(Ctg),2012,6,0,1,7.4,4.2,1.5,5.3,9,7.3,7.1,3,10.3,10.9,3.6,0,0,0,4.6,5,4.8,6.2,4.9,1.2,0,0,0,0,4.6,7.2,8.7,4.3,
Ambagan(Ctg),2012,7,10.4,6.6,4.5,4.6,5.1,5.4,9,5.3,8.6,3.2,1.9,0,0.7,0,0,2.2,0,0,2.7,10,3.2,3.4,0.6,0.3,7.3,2.3,0.6,0,0,1,0
Ambagan(Ctg),2012,8,2.8,6.2,7.8,6.3,1.8,3,2.2,2.6,9.7,7.3,4.9,0,2.6,5.2,5.8,5.8,10.7,10.1,4.1,0,3.1,5.2,7.5,7,5.8,6,10,5.3,6.8,9.1,7.7
Ambagan(Ctg),2012,9,7.8,10.4,4.3,0.5,0.4,4.3,10.5,4.6,0.8,5.8,0,0.8,1.9,8.4,7,5.6,6.1,9.4,7.7,7,9.7,9.4,6.2,3.8,5.9,9.3,9.4,6.7,9.3,2.3,
Ambagan(Ctg),2012,10,10,5.4,0,4.2,0,10.2,8.6,8.4,7.7,0,0,4.4,8.3,8,7.5,6.8,7.2,9.5,10.4,9.2,9.3,10.2,10.2,9.9,9.9,10.2,9.9,9.9,10.2,9.9,9.4
Ambagan(Ctg),2012,11,5.8,5.5,0,0.3,5.1,4.9,0.6,1.3,9.2,8.3,9.1,9.5,5.5,9.2,8.2,1.4,4.9,8.7,5.2,2.1,3.4,8.6,9.3,9.6,8,8.1,8.2,8.9,8.5,9,
Ambagan(Ctg),2012,12,7.7,8.8,9.5,9.5,8.8,7.4,7.5,6.9,6.5,7.8,7.8,2.6,8.4,8.6,8.8,8.6,8.6,6.7,4.3,6.5,7.1,9,6.2,8.2,3,8.6,7.2,4.7,4.5,8.5,8.3
Ambagan(Ctg),2013,1,8.6,8.7,1.7,8.1,8.9,8.8,4.3,0,7.2,6.2,6.4,5.7,8.1,6.8,9,9,8.4,9.2,9.7,8.6,7.3,9,9.4,9.3,9.3,8.9,9.1,8.3,8.2,5.8,4.8
Ambagan(Ctg),2013,2,3,7.2,4.6,7.6,9.6,9.9,9.2,6.9,8.8,10.2,9.6,5.4,0,6.7,10.1,9.1,1.4,7.8,9.8,10.1,10,10.3,10.4,10.1,9.5,10.1,10.1,10,,,
Ambagan(Ctg),2013,3,10,10.3,10,9.7,9.6,9.8,9.4,9.6,8.6,9,9.3,8.6,7.7,9,3.5,8.4,7,9.5,7.5,9.2,9.5,8.4,8.8,8.8,9,8.7,8.1,9.7,7.4,2.9,8.7
Ambagan(Ctg),2013,4,6.5,10.1,6.6,8.3,9.9,8.4,8.2,9.5,9.6,9.6,9.7,9.2,6.7,7.4,7.1,4.5,7.9,0.6,8.9,9,5.3,2.1,11.2,10.9,11.4,10.7,7.8,9.9,7.5,10.2,
Ambagan(Ctg),2013,5,7.3,5.8,7.5,0.4,1.8,0.6,4.3,2,5,7,9,10.6,3.2,0.5,11.2,0.7,7.6,6.2,9.7,6.2,0,0,0.2,0,0,4.9,1,0.8,0.7,2.7,1.3
Ambagan(Ctg),2013,6,10.5,6.1,2.3,10.4,9.5,7.3,0.9,7.1,0.6,8.9,7.8,5.5,7.3,6.7,11.5,10.7,7.2,6.1,9.9,11.8,4.9,8.9,11.4,7.7,0,0.4,0,0,0,0,
Ambagan(Ctg),2013,7,6.1,8.4,5.7,1.6,7.6,4.2,7.8,4.5,6,5.9,7.8,6.6,4.9,6.9,8.4,8,8.6,4.5,3.6,6.2,10.1,5.9,7.6,8.5,5.5,1.3,0,0,2.5,7.4,5.6
Ambagan(Ctg),2013,8,4.2,8.8,8.6,4.2,8.7,2,4.8,6,7.3,2.2,2,5.7,0.2,3.5,5.7,2.2,0,0.2,1.7,0,6.5,9.1,9.5,5.5,0.8,0,0.1,1.4,2.9,7.5,6.5
Ambagan(Ctg),2013,9,6.4,4.3,9.6,0,1.7,7.9,0,1.8,3.5,4.8,3.9,9.3,4.5,1.6,9.4,9.4,4.1,8.1,9.8,10.7,9.5,7,9.1,8,8,3.4,1.1,0,2.2,2.7,
Ambagan(Ctg),2013,10,5.1,4.8,6.6,0.1,0,0,2,3.9,2.2,9.1,8.5,4.3,8,10,8.4,8.9,9.4,8.3,6.2,6.2,2.8,0,0.2,5.2,0,0,0,0,10,10,9.4
Ambagan(Ctg),2013,11,8.8,8.5,8.4,9.1,9,9.8,9.9,9.8,10.2,10.2,10.1,9.8,10.1,10,1.7,9.9,8.7,9,8.5,7.2,4.7,8.9,9.7,9.1,7.9,8.4,5.3,5,9.4,8.4,
Ambagan(Ctg),2013,12,8.9,8.6,8.6,9,9.1,9.7,10.1,9.8,10,10.1,10.1,9.8,10.1,10,2.6,10.1,8.8,9.3,9.6,7.6,5.3,6.6,3.7,1.1,3.6,2.1,2.6,3,6.3,3.5,0
Ambagan(Ctg),2014,1,8.2,8.6,8,7.8,6.8,6.6,7.5,8.3,8.6,8.6,9.3,5.4,8.2,7.8,4.6,5,6,7.8,8,8.5,8.9,8.5,9.7,8.4,8.8,9.5,9.5,3.6,6.3,9.9,9.3
Ambagan(Ctg),2014,2,8.2,7.8,9.2,8.7,6.4,5,8.5,7.7,3.9,7,7,4.9,9.6,9.1,0,0,0,8.1,9.8,10,9.3,9.1,9,8.9,9.5,9.7,9.2,9.2,,,
Ambagan(Ctg),2014,3,9.4,10.1,9.9,3.7,9.5,9.7,7.8,9.5,9.8,9.6,9.4,8.7,5.3,7.8,8.9,9.9,9.7,9.1,6.4,8.4,7.7,8.7,7.5,9.3,9.6,7.5,8.7,8.1,8.8,8.8,8.4
Ambagan(Ctg),2014,4,5.2,7.5,7.4,6.4,7.4,6.6,8.4,8,6.3,5.7,8.5,10,9.4,9.8,10.4,9.3,9.2,8.8,7.9,9.6,10,10.4,9.6,4,8.4,9.4,9.4,9,10.6,0,
Ambagan(Ctg),2014,5,9.8,4.2,5.2,10.8,1.6,4.2,8.6,6.3,5.9,7.1,0,10.3,7.9,7.3,8.6,9.3,9,8.2,9.3,10.1,10.2,6.4,4.6,6,7.9,11,8.6,6,8.2,3.5,0
Ambagan(Ctg),2014,6,4.6,3.4,1.6,5,5,9.2,10.7,10.3,9.2,6.9,6.5,8.1,7.7,3,0,0,4.9,1.6,0,0,0,0,0.2,0.1,5.4,0.4,1.4,5.9,0,6.7,
Ambagan(Ctg),2014,7,6,0.7,0.6,0,0.6,9.3,5.5,10.4,8.5,7.3,7.3,8.8,4.7,7,5.2,1.7,1.4,4.5,6.8,4,0.5,2.1,5.3,6.3,10.8,7.6,7.2,10.1,11.3,0,0
Ambagan(Ctg),2014,8,8,7.2,3.4,0,0.5,1.6,6.2,10.6,6.2,5.2,4.8,3.5,0,0,0,0,0.9,6.8,4.1,0.9,1.2,2.5,5.7,8,8.8,9,4.6,4.9,8.3,2.7,5.2
Ambagan(Ctg),2014,9,7.3,10.4,4.5,4.8,6.2,9.9,7.2,7.3,7.7,10.2,7.1,8.1,7,6,5.6,8.2,9.9,5.1,0.9,0.5,1.2,3.4,0,1.8,5.6,8.7,5.1,9.2,9,9.2,
Ambagan(Ctg),2014,10,4.8,5.5,7.5,9.7,9.7,9.9,9.2,10.2,8.3,5.6,1.8,8.8,10.2,7.8,2.5,5.6,9.1,10.5,9.7,10.1,10.1,1,9.7,7.8,8.3,6.7,0.2,0,8,3.6,4.8
Ambagan(Ctg),2014,11,10,10.3,10.2,9.5,9.5,8.9,7.5,2.1,8.8,6.1,9.5,9.2,8.5,6.9,7.6,7.9,7.4,8.3,8.6,7.8,7.2,4.6,6.8,7.8,8.7,7.2,4.4,3.9,6.2,6,
Ambagan(Ctg),2014,12,7.5,6.7,7.4,8.6,9.1,8,8.4,4.8,6.8,6.1,6.9,3.3,5,8.5,9,8.6,8.7,8.7,7.9,9.3,9,9.4,9.6,9.5,9,8.1,4.7,6.2,6.5,10,0
Ambagan(Ctg),2015,1,0,4.2,9.4,8.2,7.1,8.8,8.3,8,2.1,7.9,7.7,6.1,6.4,8.4,9,1.1,6.4,8.4,3.6,5.3,6.8,6.9,8.5,8.6,9.9,9.9,9.2,8.8,9.1,8.1,9.1
Ambagan(Ctg),2015,2,9.3,9.4,9.6,9.5,8.7,7.7,5.3,9,8.7,7.4,8.2,9,8.8,3.8,6.4,8.8,8.5,7.4,3,9.1,8.5,6.2,8.7,8.6,8.7,8.2,8.8,8.4,,,
Ambagan(Ctg),2015,3,9.3,8.2,9.5,5,6.3,10.2,10.2,10.1,10,9.6,9.8,10.6,9.9,9,8.6,9.1,9.7,8.5,9.6,10,10.2,10.7,9.9,9.9,6.1,9,9.2,2,9.2,6.6,2.5
Ambagan(Ctg),2015,4,7.1,7.8,3.2,7.1,5.5,2,8.2,2.8,8.9,7.8,8.9,8.8,9.5,9.8,4.7,4.5,1.7,10.1,9.2,9.3,8.6,6.9,8.4,1.2,0,3.5,6.8,8.2,9.4,6.5,
Ambagan(Ctg),2015,5,1.7,7.1,10.8,5.4,8.8,9.3,8.8,8.4,5.9,4.9,6.1,3.1,9.5,10.2,9.8,8.5,5.2,5.1,11.1,8.9,10.2,6.2,0,0,7.1,6.4,10.1,11,8.9,7.1,5
Ambagan(Ctg),2015,6,10.6,11.3,10.9,7.5,4.3,0,3.9,9.6,6.7,0.9,0,0,0,10.3,4.3,0.3,10.6,7.1,11.8,8.4,0,0,0,0,0,0,0,3.4,4.8,6.8,
Ambagan(Ctg),2015,7,0,0.4,0,0,4,5.7,4.1,0,0,4.3,6,10.1,6.7,2.4,0,2,0,0,0,0,8.9,0,0.5,0,0,0,1,0.6,0,0,0
Ambagan(Ctg),2015,8,0.2,3.8,9.8,9.3,3.7,7.3,2.5,0.2,4.1,5,3.3,5.9,2.4,4.3,3.3,1.3,1.2,1.2,0,0,3.2,7.1,4.8,5.9,2.8,10.1,8.2,7.8,2,0,0
Ambagan(Ctg),2015,9,0,0.8,1.2,7.7,5.6,4.8,3.7,5.8,6.3,2.6,9,10.2,5.8,5.6,2.7,10,7.2,7.9,0.5,2.8,0,6.4,0,0,7.2,8.2,9.3,9.3,9.4,8.7,
Ambagan(Ctg),2015,10,3.4,1.9,6,7.4,4.1,0.9,0,0,4.3,6.1,0,3.1,2.9,0,0.8,7.3,8.4,8.2,8.4,7.1,9.3,9.7,9.1,8.7,9.5,10,10.1,9.4,8.5,0,0
Ambagan(Ctg),2015,11,0,5.5,9.9,9.4,10.3,9.5,9.5,9.4,8.9,3.4,6.7,9.2,9.9,8.7,6.7,6.9,1.6,0,8.8,9.8,8.8,9.8,10.1,9.8,9.2,9.1,4.3,8.3,8.6,8.4,
Ambagan(Ctg),2015,12,4.2,0,0,5.9,8.2,7.7,5.2,0.8,4.5,7.4,5.7,4.2,4.6,2.3,0,8.5,0,0,7.1,8.6,8.4,6.8,7.1,6.9,1,8.2,8.6,7.4,5.1,6.1,4.2
Ambagan(Ctg),2016,1,8.3,9.5,7.9,8.5,8.5,8.1,7.9,7.8,9.1,9.7,5.9,7.4,6.5,3.2,7.8,6.4,6.9,7.5,8.1,7,0,6.3,4.8,7,9,8.5,8.2,1.1,7.9,2.9,0
Ambagan(Ctg),2016,2,3.4,7.3,4.6,7.1,7.8,9.1,9.3,8.1,0.1,1.2,6.6,2.7,6.7,4.4,8.1,8.8,7,8.3,8.4,7.8,6,2,7.9,1.6,1.4,7.3,6.7,7.4,8.5,,
Ambagan(Ctg),2016,3,7.9,8.4,8.7,9.2,7.7,8.5,8.1,8.8,8.2,6.6,8,6.7,6.2,7,9.3,6.8,8.6,9.6,4.8,1.2,7.3,6.9,7.3,9.2,9.8,9.2,9.2,2.5,2.5,7.5,8.2
Ambagan(Ctg),2016,4,1.9,6.4,4.9,0.6,2,7.2,9.2,6,9.2,8.8,9.2,5.7,5.6,7.7,6.9,7.1,7.2,4.7,6.7,7.5,6.5,0,4.1,5.6,6.2,8.8,7.7,7.5,9.4,8.3,
Ambagan(Ctg),2016,5,7.6,6.2,6.8,4.5,5.4,4.9,9.3,10.5,6.4,8.3,8.1,7.5,0,7.5,9.2,7.8,0.9,6.9,0,0,0,2.4,5.2,6.1,8.4,6.9,8.7,7.9,6,6.9,4.9
Ambagan(Ctg),2016,6,8.2,9.4,9.9,11.6,6,8.3,5,2.2,0,1.3,0.7,0.7,0,2.6,0.3,3.7,4.9,6.3,8.6,5.7,7.2,9.2,2.4,4.6,6.1,8.7,8.9,10.8,9,3.7,
Ambagan(Ctg),2016,7,4.6,1,0,0,0,0,5.4,3.9,2.3,2.3,2.9,0.5,3.3,6.5,5.1,0,0,0.1,4.7,1.6,0.8,8.9,6,4.5,0,7.6,5.5,4.2,5.7,8.5,4.1
Ambagan(Ctg),2016,8,3.1,4.6,10.1,11,8.2,3.9,4.5,2.4,0,0,0,4.2,3.3,3.4,6.9,4.9,0,9,9.5,0,0,10.9,5.8,7.8,5.8,3.2,2.7,6.6,6.7,5.1,6.8
Ambagan(Ctg),2016,9,0.2,1.6,8.1,5.1,5.1,1.3,9.2,9.4,8.6,9.8,2.7,0.4,5.5,9.3,7.7,4,5.8,8.4,4.1,4.9,7.7,4.7,9.9,9.9,9.7,5,6.7,3.8,7.6,8.7,
Ambagan(Ctg),2016,10,8.3,8.1,1.3,2.9,3.3,9.7,7.4,4.9,6.9,0.2,0.2,0,1.9,0.8,9.3,9.4,9.4,7.2,9.1,9.8,10.2,10.5,10.3,7.6,8,7.5,1.5,5,6.1,1.6,6.1
Ambagan(Ctg),2016,11,8.6,8.6,7.3,0,0,0,0.4,7.9,9,9.4,8.4,8.3,8.1,9.3,8.7,9.7,9.6,9.9,9.9,9.9,9.1,8.6,8.9,9,9.5,8.6,8.2,6.1,8.1,7.9,
