,"Monthly & Yearly Average Humidity in percent by Station, 2015-2019",,,,,,,,,,,,,,
,Hatiya,2015,82,80,75,83,84,88,92,89,89,88,85,83,84
,Kutubdia,2015,77,71,69,79,77,85,88,84,83,82,77,76,79
,M.court,2015,79,74,68,78,78,85,90,87,87,84,82,81,81
,Rangamati,2015,***,***,61,74,78,82,88,85,83,84,82,81,***
,Sandwip,2015,80,76,70,81,81,87,90,88,87,87,83,83,82
,Chittagong,2015,71,68,62,77,77,82,88,84,81,80,75,76,76
,Sitakunda,2015,77,73,65,78,80,84,89,86,86,85,80,80,80
,Dhaka,2016,68,63,59,72,74,75,82,77,82,74,73,72,72
,Tangail,2016,79,74,69,75,75,79,85,81,84,81,77,82,78
,Mymensingh,2016,84,79,75,81,80,83,86,80,87,83,81,80,81
,Faridpur,2016,79,74,68,74,79,82,87,83,85,82,80,82,79
,Madaripur,2016,83,79,75,78,81,83,87,85,85,83,82,83,82
,Srimangal,2016,83,77,77,77,82,84,84,82,86,85,84,83,82
,Sylhet,2016,77,71,68,81,81,83,86,81,84,80,77,73,78
,Bogra,2016,77,72,66,70,77,78,86,80,85,82,74,78,77
,Dinajpur,2016,80,72,66,68,77,79,85,79,86,82,77,83,77
,Ishurdi,2016,82,77,69,70,77,82,88,84,86,82,79,83,79
,Rajshahi,2016,83,76,68,69,78,81,88,84,86,83,79,83,79
,Rangpur,2016,82,74,69,73,79,81,85,79,86,82,77,80,78
,Sayedpur,2016,82,73,67,71,78,80,85,78,85,81,76,81,78
,Chuadanga,2016,81,77,70,69,74,81,88,86,85,82,79,83,79
,Jessore,2016,78,74,68,69,73,77,83,81,81,79,80,81,77
,Khulna,2016,79,77,74,74,77,83,87,85,82,81,80,82,80
,Mongla,2016,78,78,75,76,77,84,90,88,86,84,81,81,81
,Satkhira,2016,81,78,75,72,74,80,86,85,83,82,80,81,79
,Barisal,2016,82,80,76,78,80,84,90,89,89,86,85,85,83
,Bhola,2016,85,81,81,80,82,85,88,87,86,86,82,82,83
,Khepupara,2016,81,81,77,80,81,84,89,88,86,87,84,82,83
,Patuakhali,2016,81,81,80,83,85,87,92,89,88,87,84,83,85
,Chandpur,2016,79,77,72,77,79,81,85,82,83,81,79,81,79
,Teknaf,2016,71,72,75,76,79,85,90,89,87,85,80,77,80
,Ambagan(Ctg),2016,75,74,76,78,78,81,86,84,84,84,83,81,80
,Comilla,2016,76,77,76,81,80,81,86,82,84,81,80,79,80
,Cox's Bazar,2016,74,76,75,77,79,82,89,86,84,82,78,77,79
,Feni,2016,78,79,75,80,79,80,86,82,82,82,80,78,80
,Hatiya,2016,83,84,83,85,86,85,91,89,89,90,87,83,86
,Kutubdia,2016,78,79,79,79,79,81,86,84,83,82,79,78,80
,M.court,2016,81,80,76,79,81,83,89,85,86,85,84,84,82
,Rangamati,2016,80,76,71,70,76,77,80,83,83,82,80,78,78
,Sandwip,2016,83,82,81,84,84,86,90,86,86,85,84,84,84
,Chittagong,2016,75,72,72,77,78,79,84,82,81,79,76,75,77
,Sitakunda,2016,79,78,78,81,81,83,87,85,84,84,83,82,82
,Dhaka,2017,62,57,67,72,73,80,83,83,82,79,67,76,73
,Tangail,2017,77,70,72,76,77,83,86,84,84,83,79,83,79
,Mymensingh,2017,76,73,78,81,80,84,86,86,87,85,81,84,81
,Faridpur,2017,76,70,72,75,78,84,86,84,85,84,78,83,79
,Madaripur,2017,78,73,77,79,79,85,87,85,86,84,79,84,81
,Srimangal,2017,80,72,77,81,79,86,85,85,87,87,84,86,82
,Sylhet,2017,71,65,74,81,78,87,85,88,87,83,77,78,79
,Bogra,2017,74,68,70,75,76,81,85,83,84,83,75,80,77
,Dinajpur,2017,79,71,72,77,79,79,84,84,83,84,77,80,79
,Ishurdi,2017,77,71,70,72,77,82,87,85,85,85,80,83,79
,Rajshahi,2017,77,73,73,72,79,82,88,85,87,87,81,83,80
,Rangpur,2017,78,75,75,78,79,79,83,84,84,84,77,81,79
,Sayedpur,2017,77,71,73,77,78,79,83,84,83,84,77,80,78
,Chuadanga,2017,78,71,69,72,78,82,87,85,84,85,81,85,79
,Jessore,2017,77,70,69,71,73,78,84,81,81,82,78,82,77
,Khulna,2017,77,72,74,74,75,83,87,86,85,86,79,84,80
,Mongla,2017,73,71,75,75,76,85,88,88,88,87,79,84,80
,Satkhira,2017,77,73,74,73,73,82,87,84,84,85,79,84,79
,Barisal,2017,80,75,81,81,79,87,93,92,91,87,83,86,84
,Bhola,2017,77,72,77,79,76,82,85,85,84,83,82,86,80
,Khepupara,2017,74,74,80,81,79,85,90,87,89,87,83,84,82
,Patuakhali,2017,75,72,78,82,80,86,90,91,91,90,86,87,84
,Chandpur,2017,77,69,74,80,78,84,86,84,85,83,76,82,79
,Teknaf,2017,70,70,77,80,81,86,90,88,85,82,69,72,79
,Ambagan(Ctg),2017,71,68,75,83,83,87,89,86,89,86,80,82,81
,Comilla,2017,72,70,78,82,79,83,86,82,86,82,76,81,79
,Cox's Bazar,2017,68,67,76,81,78,85,89,87,87,83,76,76,79
,Feni,2017,72,68,75,79,76,82,86,83,84,83,79,81,79
,Hatiya,2017,79,77,81,85,84,88,94,89,91,89,86,89,86
,Kutubdia,2017,71,71,76,80,78,82,87,84,85,82,77,78,79
,M.court,2017,75,73,79,82,79,85,89,85,88,84,79,84,81
,Rangamati,2017,75,67,70,77,75,84,85,81,82,80,79,81,78
,Sandwip,2017,78,75,82,85,81,87,90,87,90,86,82,85,84
,Chittagong,2017,65,65,72,78,77,84,87,84,84,79,75,77,77
,Sitakunda,2017,75,70,77,82,81,85,88,86,88,85,82,84,81
,Dhaka,2018,68,61,59,69,79,81,81,78,77,72,68,66,71
,Tangail,2018,80,72,69,76,81,80,83,82,81,79,76,78,78
,Mymensingh,2018,82,76,75,79,82,84,85,83,84,84,81,79,81
,Faridpur,2018,80,73,68,76,82,83,85,83,83,80,78,77,79
,Madaripur,2018,80,76,72,78,84,87,87,84,84,82,81,83,81
,Srimangal,2018,86,78,73,79,83,83,84,84,84,85,82,83,82
,Sylhet,2018,81,71,67,75,83,84,85,83,85,81,77,76,79
,Bogra,2018,80,69,67,74,79,80,83,81,80,77,71,72,76
,Dinajpur,2018,84,72,68,76,79,79,81,81,81,80,76,76,77
,Ishurdi,2018,82,73,67,77,81,80,85,82,81,80,77,75,78
,Rajshahi,2018,83,75,67,75,82,80,86,84,84,82,80,78,79
,Rangpur,2018,84,74,69,77,79,81,81,80,82,80,77,77,78
,Sayedpur,2018,84,73,70,76,78,80,81,81,82,80,75,75,77
,Chuadanga,2018,79,73,67,74,79,81,86,85,83,82,78,79,78
,Jessore,2018,78,71,68,72,77,79,82,82,81,80,78,76,77
,Khulna,2018,78,73,71,73,79,82,86,83,83,80,77,76,78
,Mongla,2018,75,72,72,73,80,86,88,86,86,82,84,76,80
,Satkhira,2018,77,71,70,72,76,80,84,84,83,81,80,78,78
,Barisal,2018,80,76,74,78,85,86,88,85,84,84,82,82,82
,Bhola,2018,81,77,75,76,85,86,87,86,85,84,82,82,82
,Khepupara,2018,78,78,77,77,81,87,87,86,85,85,84,78,81
,Patuakhali,2018,79,75,75,78,85,88,89,87,86,84,82,79,82
,Chandpur,2018,77,73,69,74,82,85,85,83,81,78,76,75,78
,Teknaf,2018,70,75,81,79,74,83,86,84,82,83,73,74,78
,Ambagan(Ctg),2018,78,73,75,78,84,89,90,85,85,87,77,78,81
,Comilla,2018,75,75,74,77,82,83,83,81,82,80,77,76,78
,Cox's Bazar,2018,72,71,75,74,79,87,90,87,85,85,75,72,79
,Feni,2018,78,73,71,74,83,84,86,83,82,82,76,76,79
,Hatiya,2018,83,83,80,81,87,89,90,87,88,89,80,82,84
,Kutubdia,2018,72,76,79,75,78,85,86,83,84,83,76,74,79
,M.court,2018,78,76,74,77,84,86,88,84,84,81,78,79,80
,Rangamati,2018,77,68,63,70,77,79,80,75,76,81,74,76,74
,Sandwip,2018,81,78,78,79,85,87,88,86,86,85,80,81,82
,Chittagong,2018,71,72,76,76,79,85,85,82,81,80,73,72,77
,Sitakunda,2018,81,77,78,76,83,84,86,85,86,85,79,77,81
,Dhaka,2019,59,63,61,69,73,78,82,79,80,78,74,74,72
,Tangail,2019,74,71,66,75,77,81,82,79,83,81,81,82,77
,Mymensingh,2019,74,75,72,78,80,84,84,81,84,86,84,82,80
,Faridpur,2019,73,75,70,76,77,81,85,83,83,83,80,81,78
,Madaripur,2019,77,74,73,76,78,83,86,84,85,84,82,82,80
,Srimangal,2019,79,75,74,77,79,84,84,83,84,86,85,84,81
,Sylhet,2019,69,69,66,72,80,85,86,82,84,83,79,76,77
,Bogra,2019,68,69,61,73,75,80,83,81,85,83,80,82,76
,Dinajpur,2019,72,73,63,75,77,79,83,81,86,83,79,82,77
,Ishurdi,2019,75,74,65,75,75,81,83,83,85,84,81,82,78
,Rajshahi,2019,77,77,69,76,78,80,85,84,87,85,82,82,80
,Rangpur,2019,73,75,67,74,79,80,83,80,86,83,80,80,78
,Sayedpur,2019,72,73,65,73,77,79,82,78,85,81,77,79,76
,Chuadanga,2019,76,75,68,75,77,81,85,85,87,86,82,83,80
,Jessore,2019,72,72,70,73,74,77,80,82,83,81,79,80,76
,Khulna,2019,74,72,72,73,76,81,85,84,86,85,82,81,79
,Mongla,2019,71,71,72,76,77,83,86,86,88,85,83,80,79
,Satkhira,2019,75,75,74,74,75,79,81,85,85,83,81,81,79
,Barisal,2019,78,77,74,77,79,83,88,84,87,86,85,84,81
,Bhola,2019,77,78,74,76,79,82,88,85,87,86,85,84,81
,Khepupara,2019,74,74,76,77,79,84,87,86,88,86,85,81,81
,Patuakhali,2019,75,75,74,77,80,85,89,88,90,88,87,86,82
,Chandpur,2019,71,72,70,74,78,83,87,84,84,82,80,79,78
,Teknaf,2019,72,70,70,72,73,82,88,84,84,82,77,67,76
,Ambagan(Ctg),2019,72,67,68,74,78,80,86,83,84,83,81,78,77
,Comilla,2019,72,74,74,77,79,82,84,83,83,82,80,78,79
,Cox's Bazar,2019,69,68,72,75,76,82,89,85,85,81,76,71,77
,Feni,2019,69,70,70,72,75,80,85,82,83,82,81,80,77
,Hatiya,2019,79,81,80,81,83,85,91,89,89,89,87,85,84
,Kutubdia,2019,73,77,79,78,79,81,87,83,84,83,79,76,79
,M.court,2019,71,74,74,76,78,83,87,85,86,84,85,83,80
,Rangamati,2019,74,71,68,69,71,77,83,79,80,81,79,79,75
,Sandwip,2019,76,76,76,77,80,83,89,87,87,86,85,84,82
,Chittagong,2019,69,70,70,74,78,81,89,83,85,82,78,73,77
,Sitakunda,2019,72,73,72,78,80,81,87,85,85,85,82,81,80
,,,,,,,,,,,,,,,
,Note : *** Means Missing Data,,,,,,,,,,,,,,
,Source :Bangladesh Meteorological Department (BMD),,,,,,,,,,,,,,
