,"Monthly and Yearly Total Rainfall data in Millimeter by Station, 2020-2024",,,,,,,,,,,,,,
,rangpur,2022,8,82,0,178,276,585,246,309,164,73,0,0,1921
,rangpur,2023,0,0,51,45,198,423,196,495,388,164,4,13,1977
,rangpur,2024,0,4,97,0,107,551,454,249,327,97,0,0,1886
,Sayedpur,2020,6,9,21,100,412,433,629,253,794,15,0,0,2672
,Sayedpur,2021,0,0,0,53,316,218,318,540,235,351,0,6,2037
,Sayedpur,2022,12,71,0,196,290,376,121,191,251,70,0,0,1578
,Sayedpur,2023,0,0,101,45,108,239,320,436,634,210,0,6,2099
,Sayedpur,2024,0,1,42,0,154,352,498,131,432,67,0,0,1677
,Chuadanga,2020,19,4,39,65,348,305,490,162,234,81,2,0,1749
,Chuadanga,2021,0,0,13,6,224,275,322,515,154,61,37,74,1681
,Chuadanga,2022,17,77,0,15,177,104,168,176,419,64,0,0,1217
,Chuadanga,2023,0,0,14,41,103,134,124,210,185,195,2,58,1066
,Chuadanga,2024,20,3,23,2,131,101,85,448,368,300,0,0,1481
,Jessore,2020,25,0,32,82,251,347,262,407,262,294,1,0,1963
,Jessore,2021,0,1,0,99,159,365,328,254,334,167,45,193,1945
,Jessore,2022,7,38,0,19,182,72,74,215,162,110,0,0,879
,Jessore,2023,0,1,58,62,220,162,85,309,171,200,15,104,1387
,Jessore,2024,31,14,59,0,218,51,399,735,433,233,0,2,2175
,Khulna,2020,30,2,10,179,243,350,223,265,172,90,6,0,1570
,Khulna,2021,0,3,0,2,124,468,525,203,339,234,3,66,1967
,Khulna,2022,8,75,0,12,186,76,116,184,350,292,0,0,1299
,Khulna,2023,0,0,94,34,157,228,151,294,266,165,46,23,1458
,Khulna,2024,10,53,23,7,305,63,416,468,512,243,0,5,2105
,Mongla,2020,54,3,8,103,245,429,446,401,227,326,12,0,2254
,Mongla,2021,0,0,0,0,187,430,867,338,408,251,2,60,2543
,Mongla,2022,6,29,0,1,120,212,148,261,317,434,0,0,1528
,Mongla,2023,0,0,60,84,146,349,411,485,285,265,92,1,2178
,Mongla,2024,6,18,13,11,365,295,390,956,523,262,0,5,2844
,Satkhira,2020,34,2,86,20,316,295,266,423,79,66,5,0,1592
,Satkhira,2021,0,3,0,1,122,440,472,248,351,217,3,87,1944
,Satkhira,2022,15,67,0,2,170,82,186,198,300,123,0,0,1143
,Satkhira,2023,0,2,76,68,173,277,173,427,95,176,2,21,1490
,Satkhira,2024,46,65,27,29,343,39,277,664,407,291,0,7,2195
,Barisal,2020,54,2,5,178,272,327,310,453,408,278,5,0,2292
,Barisal,2021,0,1,1,0,50,404,379,296,244,277,1,66,1719
,Barisal,2022,4,33,0,6,208,289,185,331,278,476,0,1,1811
,Barisal,2023,0,0,41,17,170,199,192,620,332,303,225,4,2103
,Barisal,2024,7,18,22,23,395,103,241,862,559,301,2,3,2536
,Bhola,2020,63,2,3,283,191,387,392,430,286,346,15,0,2398
,Bhola,2021,0,1,0,2,77,654,402,363,197,240,2,67,2005
,Bhola,2022,7,23,0,38,199,324,140,289,252,415,0,3,1690
,Bhola,2023,0,0,73,40,202,299,181,647,311,249,252,7,2261
,Bhola,2024,5,11,17,36,430,145,422,1002,616,320,10,2,3016
,Khapupara,2020,63,3,30,120,123,732,567,676,465,553,49,0,3381
,Khapupara,2021,4,0,0,0,123,554,836,426,344,278,0,50,2615
,Khapupara,2022,4,36,0,3,370,154,219,499,521,497,0,0,2303
,Khapupara,2023,0,0,62,66,99,361,304,1305,544,332,166,0,3239
,Khapupara,2024,13,1,22,3,326,259,841,1345,584,252,0,0,3646
,Patuakhali,2020,35,3,29,114,226,468,497,556,425,478,11,0,2842
,Patuakhali,2021,0,0,0,1,70,541,780,447,296,249,2,58,2444
,Patuakhali,2022,6,19,0,5,216,232,285,326,296,380,0,0,1765
,Patuakhali,2023,0,0,95,14,130,254,270,630,421,357,211,8,2390
,Patuakhali,2024,7,16,10,12,540,126,610,1018,664,277,19,4,3303
,Chandpur,2020,35,2,30,374,207,251,293,404,224,332,17,0,2169
,Chandpur,2021,2,0,2,3,87,437,391,419,261,196,34,126,1958
,Chandpur,2022,6,46,0,78,317,305,129,144,216,422,0,0,1663
,Chandpur,2023,0,0,175,102,243,167,198,596,179,188,245,33,2126
,Chandpur,2024,3,22,93,37,420,22,327,785,524,441,4,2,2680
,Ctg. (Ambagan),2020,51,4,130,137,245,420,548,480,340,216,99,0,2670
,Ctg. (Ambagan),2021,0,0,0,19,187,743,904,685,283,380,0,79,3280
,Ctg. (Ambagan),2022,5,15,0,34,355,717,271,152,520,185,0,4,2258
,Ctg. (Ambagan),2023,0,1,42,57,210,362,133,1120,191,124,83,8,2331
,Ctg. (Ambagan),2024,6,1,17,23,550,191,592,1094,361,79,1,1,2916
,Ctg. (Patanga),2020,49,5,0,129,119,399,605,680,350,338,125,0,2799
,Ctg. (Patanga),2021,0,0,0,2,130,793,1071,735,364,234,0,95,3424
,Ctg. (Patanga),2022,1,11,0,44,345,582,271,116,386,154,0,20,1930
,Ctg. (Patanga),2023,1,0,29,89,162,466,95,1110,283,194,84,9,2522
,Ctg. (Patanga),2024,9,2,9,32,586,261,750,1121,583,160,11,0,3524
,Comilla,2020,39,5,2,215,298,497,470,211,303,191,45,0,2276
,Comilla,2021,0,0,0,3,132,258,636,288,544,118,36,164,2179
,Comilla,2022,6,23,10,53,279,340,144,99,262,196,0,2,1414
,Comilla,2023,0,0,96,33,114,514,226,542,303,130,122,33,2113
,Comilla,2024,2,4,73,19,300,276,224,880,327,263,11,1,2380
,Cox`s Bazar,2020,27,1,0,56,189,936,934,1068,426,430,34,0,4101
,Cox`s Bazar,2021,0,0,0,46,160,731,1097,995,206,208,0,39,3482
,Cox`s Bazar,2022,8,30,4,52,237,726,167,328,412,85,0,15,2064
,Cox`s Bazar,2023,0,0,30,53,154,335,251,872,278,317,95,5,2390
,Cox`s Bazar,2024,7,0,15,0,214,538,1672,1541,924,156,17,0,5084
,Feni,2020,67,6,18,186,414,548,746,321,375,352,72,0,3105
,Feni,2021,0,0,0,16,75,530,792,439,296,193,19,89,2449
,Feni,2022,8,13,3,30,379,483,315,403,644,202,0,0,2480
,Feni,2023,0,0,148,40,148,434,202,743,255,173,126,26,2295
,Feni,2024,2,12,135,64,475,555,687,1787,346,151,2,5,4221
,Hatia,2020,47,6,8,245,312,664,546,758,584,408,85,0,3663
,Hatia,2021,1,0,0,2,170,953,795,801,322,169,0,67,3280
,Hatia,2022,5,13,0,69,291,558,303,449,167,342,5,8,2210
,Hatia,2023,0,0,65,54,239,564,490,846,495,307,133,5,3198
,Hatia,2024,12,28,43,24,417,341,526,1192,563,229,0,2,3377
,Kutubdia,2020,40,0,0,82,305,631,879,898,215,368,55,0,3473
,Kutubdia,2021,0,0,0,11,100,816,1145,893,228,215,0,85,3493
,Kutubdia,2022,7,15,0,40,288,546,213,97,333,169,0,0,1708
,Kutubdia,2023,0,0,2,57,166,289,169,850,485,261,107,0,2386
,Kutubdia,2024,7,0,9,0,469,515,800,1283,622,112,1,0,3818
,Maijdi Court,2020,82,4,9,201,219,492,742,547,335,420,47,0,3098
,Maijdi Court,2021,0,0,0,6,158,639,551,449,233,212,0,92,2340
,Maijdi Court,2022,20,10,0,99,330,334,205,314,239,352,0,0,1903
,Maijdi Court,2023,0,0,93,19,186,403,177,593,436,174,124,22,2227
,Maijdi Court,2024,4,30,62,23,411,322,465,1646,532,327,5,0,3827
,rangamati,2020,52,5,0,147,340,350,433,213,289,324,34,0,2187
,rangamati,2021,0,0,0,32,99,375,478,568,231,146,0,73,2002
,rangamati,2022,11,8,0,64,332,550,385,345,243,157,4,4,2103
,rangamati,2023,0,0,47,66,84,411,197,1104,361,57,72,11,2410
,rangamati,2024,4,1,17,23,459,327,443,936,281,161,12,0,2664
,Sandwip,2020,38,7,3,309,238,575,760,855,655,295,115,0,3850
,Sandwip,2021,0,0,0,0,137,754,866,894,372,137,0,61,3221
,Sandwip,2022,6,18,0,76,334,664,316,103,564,147,0,11,2239
,Sandwip,2023,0,0,71,14,205,475,177,1045,558,259,102,21,2927
,Sandwip,2024,5,2,45,20,395,532,715,1612,548,277,9,1,4161
,Sitakunda,2020,46,0,0,171,244,576,711,657,550,340,54,0,3349
,Sitakunda,2021,0,0,0,3,74,1072,716,672,221,196,0,66,3020
,Sitakunda,2022,8,18,6,75,467,723,205,123,506,143,0,50,2324
,Sitakunda,2023,0,0,132,85,139,473,192,1249,322,100,12,0,2704
,Sitakunda,2024,2,0,10,41,300,343,742,1517,229,132,1,0,3317
,Teknaf,2020,12,0,0,74,227,636,911,1177,570,195,98,0,3900
,Teknaf,2021,0,0,0,12,59,874,1068,703,173,134,0,21,3044
,Teknaf,2022,0,5,0,33,260,875,282,529,443,174,27,0,2628
,Teknaf,2023,0,0,12,11,92,381,375,0,0,0,0,0,871
,Teknaf,2024,0,0,9,0,194,***,***,***,***,***,***,***,203
,,,,,,,,,,,,,,,
,Note: *** Means Missing Data/ Data Not Available,,,,,,,,,,,,,,
,Source : Bangladesh Meteorological Department (BMD),,,,,,,,,,,,,,
