Relation,Primary_Key,Value,Block,Reason
Sunshine_Record,Chuadanga | 2022 | 7 | 15,18.0,B61,Sunshine outside the accepted range
Sunshine_Record,Chuadanga | 2022 | 11 | 5,17.5,B61,Sunshine outside the accepted range
Wind_Record,Mymensingh | 2022 | 11 | Minimum,speed=None; direction=9990.0,B11,Wind Direction outside the accepted range
Wind_Record,Mymensingh | 2022 | 12 | Minimum,speed=None; direction=9990.0,B11,Wind Direction outside the accepted range
Wind_Record,Mymensingh | 2023 | 2 | Minimum,speed=None; direction=9990.0,B11,Wind Direction outside the accepted range
Wind_Record,Sitakunda | 2020 | 12 | Minimum,speed=None; direction=9990.0,B11,Wind Direction outside the accepted range
Wind_Record,Sitakunda | 2021 | 10 | Minimum,speed=None; direction=9990.0,B11,Wind Direction outside the accepted range
Wind_Record,Sitakunda | 2021 | 11 | Minimum,speed=None; direction=9990.0,B11,Wind Direction outside the accepted range
Wind_Record,Sitakunda | 2023 | 1 | Minimum,speed=None; direction=9990.0,B11,Wind Direction outside the accepted range
Wind_Record,Madaripur | 2014 | 4 | Maximum,speed=5.0; direction=990.0,B12,Wind Direction outside the accepted range
Wind_Record,Sitakunda | 2016 | 11 | Maximum,speed=15.0; direction=990.0,B12,Wind Direction outside the accepted range
Wind_Record,Kutubdia | 2011 | 12 | Maximum,speed=9.0; direction=990.0,B12,Wind Direction outside the accepted range
Wind_Record,Sitakunda | 2017 | 8 | Maximum,speed=12.0; direction=990.0,B13,Wind Direction outside the accepted range
Water_Quality,Table Majhira Demra Ghat | 2022 | Biochemical Oxygen Demand,10.24,B23,header or note text parsed as a station
Water_Quality,Table Majhira Demra Ghat | 2022 | Chemical Oxygen Demand,44.42,B25,header or note text parsed as a station
Water_Quality,Launch Ghat (M) | 2022 | Chemical Oxygen Demand,-44.0,B25,Chemical Oxygen Demand cannot be negative
Water_Quality,Teesta Bridge (Dn) | 2021 | pH,14.4,B26,pH outside 0-14
Water_Quality,Table Majhira Demra Ghat | 2022 | pH,7.32,B26,header or note text parsed as a station
Water_Quality,"Table 1.59a: Freshwater Quality by District/Station, 2020-2023 | 2019 | Dissolved Oxygen",2020.0,B28,header or note text parsed as a station
Water_Quality,Table Majhira Demra Ghat | 2022 | Dissolved Oxygen,2.56,B28,header or note text parsed as a station
