Block,Measure,Station_Name,Year,Month,Daily_Readings,Rule,Monthly_Value
B57,Max_Temp,Ambagan (Ctg),2006,10,31,maximum,34.3
B57,Max_Temp,Ambagan (Ctg),2006,11,30,maximum,34.6
B57,Max_Temp,Ambagan (Ctg),2006,12,31,maximum,32.0
B57,Max_Temp,Ambagan (Ctg),2007,1,31,maximum,29.4
B57,Max_Temp,Ambagan (Ctg),2007,2,28,maximum,32.3
B57,Max_Temp,Ambagan (Ctg),2007,3,31,maximum,36.2
B57,Max_Temp,Ambagan (Ctg),2007,4,30,maximum,36.5
B57,Max_Temp,Ambagan (Ctg),2007,5,31,maximum,38.0
B57,Max_Temp,Ambagan (Ctg),2007,6,30,maximum,35.8
B57,Max_Temp,Ambagan (Ctg),2007,7,31,maximum,34.8
B57,Max_Temp,Ambagan (Ctg),2007,8,31,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),2007,9,30,maximum,34.4
B57,Max_Temp,Ambagan (Ctg),2007,10,31,maximum,35.8
B57,Max_Temp,Ambagan (Ctg),2007,11,30,maximum,34.7
B57,Max_Temp,Ambagan (Ctg),2007,12,31,maximum,30.7
B57,Max_Temp,Ambagan (Ctg),2008,1,31,maximum,31.4
B57,Max_Temp,Ambagan (Ctg),2008,2,29,maximum,31.8
B57,Max_Temp,Ambagan (Ctg),2008,3,31,maximum,35.4
B57,Max_Temp,Ambagan (Ctg),2008,4,30,maximum,37.1
B57,Max_Temp,Ambagan (Ctg),2008,5,31,maximum,35.2
B57,Max_Temp,Ambagan (Ctg),2008,6,30,maximum,35.7
B57,Max_Temp,Ambagan (Ctg),2008,7,31,maximum,33.5
B57,Max_Temp,Ambagan (Ctg),2008,8,31,maximum,34.3
B57,Max_Temp,Ambagan (Ctg),2008,9,30,maximum,35.3
B57,Max_Temp,Ambagan (Ctg),2008,10,31,maximum,36.5
B57,Max_Temp,Ambagan (Ctg),2008,11,30,maximum,33.8
B57,Max_Temp,Ambagan (Ctg),2008,12,31,maximum,31.0
B57,Max_Temp,Ambagan (Ctg),2009,1,31,maximum,31.1
B57,Max_Temp,Ambagan (Ctg),2009,2,28,maximum,32.0
B57,Max_Temp,Ambagan (Ctg),2009,3,31,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),2009,4,30,maximum,36.6
B57,Max_Temp,Ambagan (Ctg),2009,5,31,maximum,39.5
B57,Max_Temp,Ambagan (Ctg),2009,6,30,maximum,35.1
B57,Max_Temp,Ambagan (Ctg),2009,7,31,maximum,34.0
B57,Max_Temp,Ambagan (Ctg),2009,8,31,maximum,33.4
B57,Max_Temp,Ambagan (Ctg),2009,9,30,maximum,35.0
B57,Max_Temp,Ambagan (Ctg),2009,10,31,maximum,34.6
B57,Max_Temp,Ambagan (Ctg),2009,11,30,maximum,35.3
B57,Max_Temp,Ambagan (Ctg),2009,12,31,maximum,31.1
B57,Max_Temp,Ambagan (Ctg),2010,1,31,maximum,30.7
B57,Max_Temp,Ambagan (Ctg),2010,2,28,maximum,33.2
B57,Max_Temp,Ambagan (Ctg),2010,3,31,maximum,37.5
B57,Max_Temp,Ambagan (Ctg),2010,4,30,maximum,36.1
B57,Max_Temp,Ambagan (Ctg),2010,5,31,maximum,35.7
B57,Max_Temp,Ambagan (Ctg),2010,6,30,maximum,34.3
B57,Max_Temp,Ambagan (Ctg),2010,7,31,maximum,34.7
B57,Max_Temp,Ambagan (Ctg),2010,8,31,maximum,34.2
B57,Max_Temp,Ambagan (Ctg),2010,9,30,maximum,34.5
B57,Max_Temp,Ambagan (Ctg),2010,10,31,maximum,36.3
B57,Max_Temp,Ambagan (Ctg),2010,11,30,maximum,34.2
B57,Max_Temp,Ambagan (Ctg),2010,12,31,maximum,32.1
B57,Max_Temp,Ambagan (Ctg),2011,1,31,maximum,32.4
B57,Max_Temp,Ambagan (Ctg),2011,2,28,maximum,35.0
B57,Max_Temp,Ambagan (Ctg),2011,3,31,maximum,35.3
B57,Max_Temp,Ambagan (Ctg),2011,4,30,maximum,34.8
B57,Max_Temp,Ambagan (Ctg),2011,5,31,maximum,34.8
B57,Max_Temp,Ambagan (Ctg),2011,6,30,maximum,34.2
B57,Max_Temp,Ambagan (Ctg),2011,7,31,maximum,33.9
B57,Max_Temp,Ambagan (Ctg),2011,8,31,maximum,34.5
B57,Max_Temp,Ambagan (Ctg),2011,9,30,maximum,34.5
B57,Max_Temp,Ambagan (Ctg),2011,10,31,maximum,35.4
B57,Max_Temp,Ambagan (Ctg),2011,11,30,maximum,33.4
B57,Max_Temp,Ambagan (Ctg),2011,12,31,maximum,32.3
B57,Max_Temp,Ambagan (Ctg),2012,1,31,maximum,30.7
B57,Max_Temp,Ambagan (Ctg),2012,2,29,maximum,34.0
B57,Max_Temp,Ambagan (Ctg),2012,3,31,maximum,36.0
B57,Max_Temp,Ambagan (Ctg),2012,4,30,maximum,36.5
B57,Max_Temp,Ambagan (Ctg),2012,5,31,maximum,35.2
B57,Max_Temp,Ambagan (Ctg),2012,6,30,maximum,35.0
B57,Max_Temp,Ambagan (Ctg),2012,7,31,maximum,34.5
B57,Max_Temp,Ambagan (Ctg),2012,8,31,maximum,34.1
B57,Max_Temp,Ambagan (Ctg),2012,9,30,maximum,35.0
B57,Max_Temp,Ambagan (Ctg),2012,10,31,maximum,34.3
B57,Max_Temp,Ambagan (Ctg),2012,11,30,maximum,34.2
B57,Max_Temp,Ambagan (Ctg),2012,12,31,maximum,30.4
B57,Max_Temp,Ambagan (Ctg),2013,1,31,maximum,31.6
B57,Max_Temp,Ambagan (Ctg),2013,2,28,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),2013,3,31,maximum,34.8
B57,Max_Temp,Ambagan (Ctg),2013,4,30,maximum,35.0
B57,Max_Temp,Ambagan (Ctg),2013,5,31,maximum,34.0
B57,Max_Temp,Ambagan (Ctg),2013,6,30,maximum,35.3
B57,Max_Temp,Ambagan (Ctg),2013,7,31,maximum,34.5
B57,Max_Temp,Ambagan (Ctg),2013,8,31,maximum,33.2
B57,Max_Temp,Ambagan (Ctg),2013,9,30,maximum,35.1
B57,Max_Temp,Ambagan (Ctg),2013,10,31,maximum,35.6
B57,Max_Temp,Ambagan (Ctg),2013,11,30,maximum,33.2
B57,Max_Temp,Ambagan (Ctg),2013,12,31,maximum,30.5
B57,Max_Temp,Ambagan (Ctg),2014,1,31,maximum,30.5
B57,Max_Temp,Ambagan (Ctg),2014,2,28,maximum,31.5
B57,Max_Temp,Ambagan (Ctg),2014,3,31,maximum,35.1
B57,Max_Temp,Ambagan (Ctg),2014,4,30,maximum,40.7
B57,Max_Temp,Ambagan (Ctg),2014,5,31,maximum,35.0
B57,Max_Temp,Ambagan (Ctg),2014,6,30,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),2014,7,31,maximum,35.4
B57,Max_Temp,Ambagan (Ctg),2014,8,31,maximum,33.5
B57,Max_Temp,Ambagan (Ctg),2014,9,30,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),2014,10,31,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),2014,11,30,maximum,34.7
B57,Max_Temp,Ambagan (Ctg),2014,12,31,maximum,31.7
B57,Max_Temp,Ambagan (Ctg),2015,1,31,maximum,32.4
B57,Max_Temp,Ambagan (Ctg),2015,2,28,maximum,32.5
B57,Max_Temp,Ambagan (Ctg),2015,3,31,maximum,37.0
B57,Max_Temp,Ambagan (Ctg),2015,4,30,maximum,36.0
B57,Max_Temp,Ambagan (Ctg),2015,5,31,maximum,34.9
B57,Max_Temp,Ambagan (Ctg),2015,6,30,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),2015,7,31,maximum,34.8
B57,Max_Temp,Ambagan (Ctg),2015,8,31,maximum,33.8
B57,Max_Temp,Ambagan (Ctg),2015,9,30,maximum,35.7
B57,Max_Temp,Ambagan (Ctg),2015,10,31,maximum,34.5
B57,Max_Temp,Ambagan (Ctg),2015,11,30,maximum,33.2
B57,Max_Temp,Ambagan (Ctg),2015,12,31,maximum,30.4
B57,Max_Temp,Ambagan (Ctg),2016,1,31,maximum,29.5
B57,Max_Temp,Ambagan (Ctg),2016,2,29,maximum,34.0
B57,Max_Temp,Ambagan (Ctg),2016,3,31,maximum,35.8
B57,Max_Temp,Ambagan (Ctg),2016,4,30,maximum,35.3
B57,Max_Temp,Ambagan (Ctg),2016,5,31,maximum,36.0
B57,Max_Temp,Ambagan (Ctg),2016,6,30,maximum,34.5
B57,Max_Temp,Ambagan (Ctg),2016,7,31,maximum,34.5
B57,Max_Temp,Ambagan (Ctg),2016,8,31,maximum,34.6
B57,Max_Temp,Ambagan (Ctg),2016,9,30,maximum,34.2
B57,Max_Temp,Ambagan (Ctg),2016,10,31,maximum,35.2
B57,Max_Temp,Ambagan (Ctg),2016,11,30,maximum,34.8
B57,Max_Temp,Ambagan (Ctg),2016,12,31,maximum,32.4
B57,Max_Temp,Ambagan (Ctg),2017,1,31,maximum,31.5
B57,Max_Temp,Ambagan (Ctg),2017,2,28,maximum,34.4
B57,Max_Temp,Ambagan (Ctg),2017,3,31,maximum,32.8
B57,Max_Temp,Ambagan (Ctg),2017,4,30,maximum,34.4
B57,Max_Temp,Ambagan (Ctg),2017,5,31,maximum,36.7
B57,Max_Temp,Ambagan (Ctg),2017,6,30,maximum,35.0
B57,Max_Temp,Ambagan (Ctg),2017,7,31,maximum,34.6
B57,Max_Temp,Ambagan (Ctg),2017,8,31,maximum,34.0
B57,Max_Temp,Ambagan (Ctg),2017,9,30,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),2017,10,31,maximum,35.0
B57,Max_Temp,Ambagan (Ctg),2017,11,30,maximum,34.1
B57,Max_Temp,Ambagan (Ctg),2017,12,31,maximum,32.3
B57,Max_Temp,Ambagan (Ctg),2018,1,31,maximum,30.2
B57,Max_Temp,Ambagan (Ctg),2018,2,28,maximum,33.1
B57,Max_Temp,Ambagan (Ctg),2018,3,31,maximum,34.7
B57,Max_Temp,Ambagan (Ctg),2018,4,30,maximum,35.7
B57,Max_Temp,Ambagan (Ctg),2018,5,31,maximum,35.2
B57,Max_Temp,Ambagan (Ctg),2018,6,27,maximum,34.0
B57,Max_Temp,Ambagan (Ctg),2018,7,31,maximum,36.0
B57,Max_Temp,Ambagan (Ctg),2018,8,31,maximum,34.0
B57,Max_Temp,Ambagan (Ctg),2018,9,30,maximum,36.8
B57,Max_Temp,Ambagan (Ctg),2018,10,31,maximum,34.7
B57,Max_Temp,Ambagan (Ctg),2018,11,30,maximum,32.6
B57,Max_Temp,Ambagan (Ctg),2018,12,31,maximum,30.0
B57,Max_Temp,Ambagan (Ctg),2019,1,31,maximum,31.2
B57,Max_Temp,Ambagan (Ctg),2019,2,28,maximum,33.2
B57,Max_Temp,Ambagan (Ctg),2019,3,31,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),2019,4,30,maximum,37.5
B57,Max_Temp,Ambagan (Ctg),2019,5,31,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),2019,6,30,maximum,35.2
B57,Max_Temp,Ambagan (Ctg),2019,7,31,maximum,33.7
B57,Max_Temp,Ambagan (Ctg),2019,8,31,maximum,35.2
B57,Max_Temp,Ambagan (Ctg),2019,9,30,maximum,35.6
B57,Max_Temp,Ambagan (Ctg),2019,10,31,maximum,35.0
B57,Max_Temp,Ambagan (Ctg),2019,11,30,maximum,33.8
B57,Max_Temp,Ambagan (Ctg),2019,12,31,maximum,32.6
B57,Max_Temp,Ambagan (Ctg),2020,1,31,maximum,31.8
B57,Max_Temp,Ambagan (Ctg),2020,2,29,maximum,32.0
B57,Max_Temp,Ambagan (Ctg),2020,3,31,maximum,36.5
B57,Max_Temp,Ambagan (Ctg),2020,4,30,maximum,36.0
B57,Max_Temp,Ambagan (Ctg),2020,5,31,maximum,37.8
B57,Max_Temp,Ambagan (Ctg),2020,6,30,maximum,34.0
B57,Max_Temp,Ambagan (Ctg),2020,7,31,maximum,33.7
B57,Max_Temp,Ambagan (Ctg),2020,8,31,maximum,35.0
B57,Max_Temp,Ambagan (Ctg),2020,9,30,maximum,36.5
B57,Max_Temp,Ambagan (Ctg),2020,10,31,maximum,37.2
B57,Max_Temp,Ambagan (Ctg),2020,11,30,maximum,35.0
B57,Max_Temp,Ambagan (Ctg),2021,7,31,maximum,34.4
B57,Max_Temp,Ambagan (Ctg),2021,8,31,maximum,33.7
B57,Max_Temp,Ambagan (Ctg),2021,9,30,maximum,36.5
B57,Max_Temp,Ambagan (Ctg),2021,10,31,maximum,35.5
B57,Max_Temp,Ambagan (Ctg),2021,11,30,maximum,33.8
