Relation,Attribute,Organisation,Source_File,Source_Sheet,Source_Column_Group,Transformation
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-13,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-14,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-15,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-16,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-17,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BMD,Temperature Data.xlsx,Table-18,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),"Read from the Bangladesh Meteorological Department temperature workbook. One sheet holds one station, the year is a row and the twelve months are columns, so the columns are unpivoted into rows. It contributes 816 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BRRI,BRRI_Daily_Maximum_Temperature.xlsx,BRRI_Daily_Maximum_Temperature,31 day columns (Days 1..31),"Read from a Bangladesh Rice Research Institute daily weather file and aggregated to the month, because the approved design holds monthly climate readings. Temperature and humidity are averaged over the days present, rainfall is summed, and the number of days each figure rests on is counted. It contributes 20482 rows to this relation before the primary key is enforced."
Temperature_Record,"Station_Name, Year, Month, Type, Temp",BRRI,BRRI_Daily_Minimum_Temperature.xlsx,BRRI_Daily_Minimum_Temperature,31 day columns (Days 1..31),"Read from a Bangladesh Rice Research Institute daily weather file and aggregated to the month, because the approved design holds monthly climate readings. Temperature and humidity are averaged over the days present, rainfall is summed, and the number of days each figure rests on is counted. It contributes 20414 rows to this relation before the primary key is enforced."
Humidity_Record,"Station_Name, Year, Month, Humidity",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.06,12 month columns Jan..Dec plus Annual,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 1724 rows to this relation before the primary key is enforced."
Humidity_Record,"Station_Name, Year, Month, Humidity",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.06,12 month columns Jan..Dec plus Annual,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 2098 rows to this relation before the primary key is enforced."
Humidity_Record,"Station_Name, Year, Month, Humidity",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.06,12 month columns Jan..Dec plus Annual,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 2084 rows to this relation before the primary key is enforced."
Humidity_Record,"Station_Name, Year, Month, Humidity",BRRI,BRRI_Daily_Average_Humidity.xlsx,BRRI_Daily_Average_Humidity,31 day columns (Days 1..31),"Read from a Bangladesh Rice Research Institute daily weather file and aggregated to the month, because the approved design holds monthly climate readings. Temperature and humidity are averaged over the days present, rainfall is summed, and the number of days each figure rests on is counted. It contributes 24914 rows to this relation before the primary key is enforced."
Rainfall_Record,"Station_Name, Year, Month, Rainfall",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.05,12 month columns Jan..Dec plus Annual,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 1680 rows to this relation before the primary key is enforced."
Rainfall_Record,"Station_Name, Year, Month, Rainfall",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.05,12 month columns Jan..Dec plus Total,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 2098 rows to this relation before the primary key is enforced."
Rainfall_Record,"Station_Name, Year, Month, Rainfall",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.05,12 month columns Jan..Dec plus Total,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 2093 rows to this relation before the primary key is enforced."
Rainfall_Record,"Station_Name, Year, Month, Rainfall",BRRI,BRRI_Daily_Total_Rainfall.xlsx,BRRI_Daily_Total_Rainfall,31 day columns (Days 1..31),"Read from a Bangladesh Rice Research Institute daily weather file and aggregated to the month, because the approved design holds monthly climate readings. Temperature and humidity are averaged over the days present, rainfall is summed, and the number of days each figure rests on is counted. It contributes 24924 rows to this relation before the primary key is enforced."
Wind_Record,"Station_Name, Year, Month, Type, Wind_Speed, Direction",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.08,"12 month groups, each a (spd, dir) column pair","Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 3927 rows to this relation before the primary key is enforced."
Wind_Record,"Station_Name, Year, Month, Type, Wind_Speed, Direction",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.10,"12 month groups, each a (SPD., DIR.) column pair","Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 2448 rows to this relation before the primary key is enforced."
Wind_Record,"Station_Name, Year, Month, Type, Wind_Speed, Direction",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.10,"12 month groups, each a (SPD., DIR.) column pair","Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 3120 rows to this relation before the primary key is enforced."
Climatic_Event_Record,"Station_Name, Year, Month, Thunderstorm, Lightning",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.19,12 month columns Jan..Dec,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 3934 rows to this relation before the primary key is enforced."
Climatic_Event_Record,"Station_Name, Year, Month, Lightning",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.19 a,12 month columns Jan..Dec,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 72 rows to this relation before the primary key is enforced."
Sunshine_Record,"Station_Name, Year, Month, Day, Sunshine_Hours",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.13,31 day columns (Day 1..31),"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 75696 rows to this relation before the primary key is enforced."
Sunshine_Record,"Station_Name, Year, Month, Day, Sunshine_Hours",BRRI,BRRI_Daily_Sunshine.xlsx,BRRI_Daily_Sunshine,31 day columns (Days 1..31),"Read from a Bangladesh Rice Research Institute daily weather file and aggregated to the month, because the approved design holds monthly climate readings. Temperature and humidity are averaged over the days present, rainfall is summed, and the number of days each figure rests on is counted. It contributes 509434 rows to this relation before the primary key is enforced."
Radiation_Record,"Station_Name, Year, Month, Day, Sample_No, Radiation",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.14,6 year blocks (2019..2024) x 31 day columns D_01..D_31,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 9296 rows to this relation before the primary key is enforced."
Radiation_Record,"Station_Name, Year, Month, Day, Sample_No, Radiation",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.14,6 year blocks (2019..2024) x 31 day columns D_01..D_31,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 18873 rows to this relation before the primary key is enforced."
Radiation_Record,"Station_Name, Year, Month, Day, Sample_No, Radiation",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.14,6 year blocks (2019..2024) x 31 day columns D_01..D_31,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 14476 rows to this relation before the primary key is enforced."
Radiation_Record,"Station_Name, Year, Month, Day, Sample_No, Radiation",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.14,6 year blocks (2019..2024) x 31 day columns D_01..D_31,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 15568 rows to this relation before the primary key is enforced."
Radiation_Record,"Station_Name, Year, Month, Day, Sample_No, Radiation",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.14,6 year blocks (2019..2024) x 31 day columns D_01..D_31,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 4718 rows to this relation before the primary key is enforced."
Water_Quality,"WQ_Station_Name, Year, Parameter_Type, Value",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.84,"year blocks side by side, each repeating the District/Station column","Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 587 rows to this relation before the primary key is enforced."
Water_Quality,"WQ_Station_Name, Year, Parameter_Type, Value",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.84,4 year columns 2020..2023,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 44 rows to this relation before the primary key is enforced."
Water_Quality,"WQ_Station_Name, Year, Parameter_Type, Value",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.84b,"year blocks side by side, each repeating the District/Station column","Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 250 rows to this relation before the primary key is enforced."
Water_Quality,"WQ_Station_Name, Year, Parameter_Type, Value",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.84c,"year blocks side by side, each repeating the District/Station column","Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 652 rows to this relation before the primary key is enforced."
Water_Quality,"WQ_Station_Name, Year, Parameter_Type, Value",BBS,BBS_Time_Series_Environmental_Database.xlsx,T184d,"year blocks side by side, each repeating the District/Station column","Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 40 rows to this relation before the primary key is enforced."
Water_Quality,"WQ_Station_Name, Year, Parameter_Type, Value",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.84e,"year blocks side by side, each repeating the District/Station column","Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 653 rows to this relation before the primary key is enforced."
Water_Quality,"WQ_Station_Name, Year, Parameter_Type, Value",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.85,6 year columns 2019..2024,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 15 rows to this relation before the primary key is enforced."
Water_Quality,"WQ_Station_Name, Year, Parameter_Type, Value",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.85b,6 year columns 2019..2024,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 15 rows to this relation before the primary key is enforced."
Water_Quality,"WQ_Station_Name, Year, Parameter_Type, Value",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.85c,6 year columns 2019..2024,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 32 rows to this relation before the primary key is enforced."
Water_Quality,"WQ_Station_Name, Year, Parameter_Type, Value",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.85d,6 year columns 2019..2024,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 32 rows to this relation before the primary key is enforced."
Water_Quality,"WQ_Station_Name, Year, Parameter_Type, Value",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.85e,6 year columns 2019..2024,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 32 rows to this relation before the primary key is enforced."
Water_Quality,"WQ_Station_Name, Year, Parameter_Type, Value",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.85f,6 year columns 2019..2024,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 7 rows to this relation before the primary key is enforced."
Forest_Area_Record,"District_Name, Fiscal_Start_Year, Fiscal_End_Year, Reserved_Forest_Section_20_Acre, Reserved_Forest_Section_4_6_Acre, Protected_Area, Acquired_Vested_Forest, Unclassed_State_Forest_FD_Acre, Total_Forest_FD_Acre, Unclassed_State_Forest_Admin_Acre, Total_Forest_Land",BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.66,5 fiscal-year blocks x 8 measure columns,"Read from the Bangladesh Bureau of Statistics workbook. The repeating month columns are unpivoted into rows, the station is taken from the label row that stands above each group of data rows, and the published Annual column is discarded because it is the mean of the twelve months and would duplicate them. It contributes 175 rows to this relation before the primary key is enforced. The eight area figures are separate columns in the source, so the measure column that First Normal Form created is pivoted back into one row per district and fiscal year."
Type_Of_Establishments,"Size_Name, Start_Year, End_Year, Quantity, Percentage",BBS,BBS_Time_Series_Environmental_Database.xlsx,T3.14,3 fiscal-year quantity columns + 3 percentage columns,"Read from the Bangladesh Bureau of Statistics workbook. The sheet publishes three fiscal years side by side, so the three year columns are unpivoted into three rows for each size name rather than reduced to the latest year. The published quantity and percentage are preserved as separate columns."
Size,Size_Name,BBS,BBS_Time_Series_Environmental_Database.xlsx,T3.14,3 fiscal-year quantity columns + 3 percentage columns,"A reference relation collected from the size name values that Type_Of_Establishments actually uses, so the foreign key has a parent row."
Industry_Usage,"Industry_Name, Start_Year, End_Year, Produced_Waste_Water, Reused_Waste_Water",BBS,BBS_Time_Series_Environmental_Database.xlsx,T3.22,3 fiscal-year produced columns + 3 reuse columns,"Read from the Bangladesh Bureau of Statistics workbook. The sheet publishes three fiscal years side by side, so the three year columns are unpivoted into three rows for each industry name rather than reduced to the latest year. The produced and reused values are preserved in separate columns; the source heading conflict is documented rather than silently corrected."
Industrial_Type,Industry_Name,BBS,BBS_Time_Series_Environmental_Database.xlsx,T3.22,3 fiscal-year produced columns + 3 reuse columns,"A reference relation collected from the industry name values that Industry_Usage actually uses, so the foreign key has a parent row."
Station,Station_Name,derived,not published as a table,,no source column,"Collected from the station names used by the seven climate and daily relations, after name reconciliation."
District,District_Name,derived,not published as a table,,no source column,"Collected from the district names used by Forest_Area_Record, after name reconciliation."
River,River_Name,BWDB,BWDB_Rivers_Information.csv,(csv),none (already one row per river),"The Bangladesh Water Development Board river register, plus the water bodies named by the water quality sheets that the register omits."
Year_Time,Year,derived,not published as a table,,no source column,Collected from every year used by any measurement relation.
Month_Time,"Year, Month",derived,not published as a table,,no source column,Collected from every year and month pair used by any monthly relation.
Day_Time,"Year, Month, Day",derived,not published as a table,,no source column,"Collected from every year, month and day used by Sunshine_Record and Radiation_Record, after rejecting days that the month does not hold."
Fiscal_Year,"Start_Year, End_Year",derived,not published as a table,,no source column,"Split from the fiscal year text the forest sheet publishes, for example 2019-20 becomes 2019 and 2020."
River_Station,"WQ_Station_Name, River_Name",BBS,BBS_Time_Series_Environmental_Database.xlsx,"T1.84, T1.85",station column and river or lake heading,"The monitoring point and the water body it stands in are read from the water quality sheets. A marine point stands in the sea, so the water body is recorded as Bay of Bengal."
