WQ_Station_Name,Year,Parameter_Type,Value
8 No. Road Bridge,2021,Biochemical Oxygen Demand,9.44
8 No. Road Bridge,2022,Biochemical Oxygen Demand,5.2
8 No. Road Bridge,2023,Biochemical Oxygen Demand,7.7
Alipur,2021,Biochemical Oxygen Demand,12
Alipur,2021,Chemical Oxygen Demand,44
Alipur,2021,Dissolved Oxygen,2.8
Alipur,2021,pH,7.86
Annando Bazar,2021,Biochemical Oxygen Demand,4.25
Annando Bazar,2021,Dissolved Oxygen,6.8
Annando Bazar,2021,pH,7.12
Anondo Bazar,2022,Biochemical Oxygen Demand,4.74
Anondo Bazar,2022,Chemical Oxygen Demand,24.43
Anondo Bazar,2022,Dissolved Oxygen,4.83
Anondo Bazar,2022,pH,7.13
Anondo Bazar,2023,Biochemical Oxygen Demand,4.48
Anondo Bazar,2023,Dissolved Oxygen,6.04
Anondo Bazar,2023,pH,6.04
Ashulia,2021,Biochemical Oxygen Demand,16.22
Ashulia,2021,Chemical Oxygen Demand,50.22
Ashulia,2021,Dissolved Oxygen,2.6
Ashulia,2021,pH,7.22
Ashulia,2022,Biochemical Oxygen Demand,13.22
Ashulia,2022,Chemical Oxygen Demand,45.33
Ashulia,2022,Dissolved Oxygen,3.66
Ashulia,2022,pH,7.48
Ashulia,2023,Biochemical Oxygen Demand,12.35
Ashulia,2023,Chemical Oxygen Demand,26.11
Ashulia,2023,Dissolved Oxygen,2.78
Ashulia,2023,pH,2.78
Ashulia BIWTA Landing Station,2018,Biochemical Oxygen Demand,12.89
Ashulia BIWTA Landing Station,2018,Chemical Oxygen Demand,47.27
Ashulia BIWTA Landing Station,2018,Dissolved Oxygen,3.41
Ashulia BIWTA Landing Station,2018,pH,7.55
Ashulia BIWTA Landing Station,2019,Biochemical Oxygen Demand,15.67
Ashulia BIWTA Landing Station,2019,Chemical Oxygen Demand,54.82
Ashulia BIWTA Landing Station,2019,Dissolved Oxygen,2.75
Ashulia BIWTA Landing Station,2019,pH,7.4
Ashulia BIWTA Landing Station,2020,Biochemical Oxygen Demand,22.6
Ashulia BIWTA Landing Station,2020,Chemical Oxygen Demand,67.05
Ashulia BIWTA Landing Station,2020,Dissolved Oxygen,2.79
Ashulia BIWTA Landing Station,2020,pH,7.4
Aziz Ahmed Taki Road (Down),2021,Biochemical Oxygen Demand,4.77
Aziz Ahmed Taki Road (Down),2021,Dissolved Oxygen,4.6
Aziz Ahmed Taki Road (Down),2021,pH,7.07
Aziz Ahmed Taki Road (Down),2023,Biochemical Oxygen Demand,3.99
Aziz Ahmed Taki Road (Down),2023,Dissolved Oxygen,3.54
Aziz Ahmed Taki Road (Down),2023,pH,3.54
Aziz Ahmed Taki Road (Downstream),2022,Biochemical Oxygen Demand,3.07
Aziz Ahmed Taki Road (Downstream),2022,Dissolved Oxygen,5.78
Aziz Ahmed Taki Road (Downstream),2022,pH,7.16
Aziz Ahmed Taki Road (UP),2021,Biochemical Oxygen Demand,4.77
Aziz Ahmed Taki Road (UP),2021,Dissolved Oxygen,4.6
Aziz Ahmed Taki Road (UP),2021,pH,7.07
Aziz Ahmed Taki Road (Up),2023,Biochemical Oxygen Demand,3.99
Aziz Ahmed Taki Road (Up),2023,Dissolved Oxygen,3.54
Aziz Ahmed Taki Road (Up),2023,pH,3.54
Aziz Ahmed Taki Road (Upstream),2022,Biochemical Oxygen Demand,3.07
Aziz Ahmed Taki Road (Upstream),2022,Dissolved Oxygen,5.78
Aziz Ahmed Taki Road (Upstream),2022,pH,7.16
B.C.F.B,2021,Biochemical Oxygen Demand,18.9
B.C.F.B,2021,Chemical Oxygen Demand,63.3
B.C.F.B,2021,Dissolved Oxygen,2.07
B.C.F.B,2021,pH,7.26
Badda-Gulshan Link Road Bridge,2020,Biochemical Oxygen Demand,25.2
Badda-Gulshan Link Road Bridge,2021,Biochemical Oxygen Demand,23.56
Badda-Gulshan Link Road Bridge,2022,Biochemical Oxygen Demand,27.25
Badda-Gulshan Link Road Bridge,2023,Biochemical Oxygen Demand,20.43
Bagerhat (M.S),2018,Biochemical Oxygen Demand,0.7
Bagerhat (M.S),2018,Dissolved Oxygen,5.09
Bagerhat (M.S),2018,Salinity,0.22
Bagerhat (M.S),2018,pH,7.47
Bagerhat (M.S),2019,Biochemical Oxygen Demand,0.71
Bagerhat (M.S),2019,Dissolved Oxygen,5.66
Bagerhat (M.S),2019,pH,7.43
Bagerhat (M.S),2020,Biochemical Oxygen Demand,1.58
Bagerhat (M.S),2020,Dissolved Oxygen,6.64
Bagerhat (M.S),2020,pH,7.78
Bagerhat (O.S),2018,Biochemical Oxygen Demand,0.75
Bagerhat (O.S),2018,Dissolved Oxygen,5.05
Bagerhat (O.S),2018,Salinity,0.2
Bagerhat (O.S),2018,pH,7.46
Bagerhat (O.S),2019,Biochemical Oxygen Demand,0.67
Bagerhat (O.S),2019,Dissolved Oxygen,5.63
Bagerhat (O.S),2019,pH,7.42
Bagerhat (O.S),2020,Biochemical Oxygen Demand,1.56
Bagerhat (O.S),2020,Dissolved Oxygen,6.64
Bagerhat (O.S),2020,pH,7.78
Bairob Ferry Ghat,2021,Biochemical Oxygen Demand,6.22
Bairob Ferry Ghat,2021,Dissolved Oxygen,6.14
Bairob Ferry Ghat,2021,pH,7.34
Bangladesg China Frendship Bridge,2018,Biochemical Oxygen Demand,8.83
Bangladesg China Frendship Bridge,2018,Chemical Oxygen Demand,32.18
Bangladesg China Frendship Bridge,2018,Dissolved Oxygen,1.66
Bangladesg China Frendship Bridge,2018,pH,7.42
Bangladesg China Frendship Bridge,2019,Biochemical Oxygen Demand,12.07
Bangladesg China Frendship Bridge,2019,Chemical Oxygen Demand,42
Bangladesg China Frendship Bridge,2019,Dissolved Oxygen,1.27
Bangladesg China Frendship Bridge,2019,pH,7.3
Bangladesg China Frendship Bridge,2020,Biochemical Oxygen Demand,13.97
Bangladesg China Frendship Bridge,2020,Chemical Oxygen Demand,53.92
Bangladesg China Frendship Bridge,2020,Dissolved Oxygen,2.16
Bangladesg China Frendship Bridge,2020,pH,7.18
Bangladesg China Friendship Bridge,2022,Biochemical Oxygen Demand,14.75
Bangladesg China Friendship Bridge,2022,Chemical Oxygen Demand,44.75
Bangladesg China Friendship Bridge,2022,Dissolved Oxygen,2.66
Bangladesg China Friendship Bridge,2022,pH,7.16
Bangladesg China Friendship Bridge,2023,Biochemical Oxygen Demand,12.33
Bangladesg China Friendship Bridge,2023,Chemical Oxygen Demand,46.56
Bangladesg China Friendship Bridge,2023,Dissolved Oxygen,1.99
Bangladesg China Friendship Bridge,2023,pH,1.99
Banishanta,2021,Biochemical Oxygen Demand,2.11
Banishanta,2021,Dissolved Oxygen,6.18
Banishanta,2021,pH,8.14
Banishanta,2022,Dissolved Oxygen,0.7
Banishanta,2022,pH,7.52
Banishanta,2023,Biochemical Oxygen Demand,15.15
Banishanta,2023,Dissolved Oxygen,6.71
Banishanta,2023,pH,6.71
Barha Ghat,2021,Biochemical Oxygen Demand,8
Barha Ghat,2021,Dissolved Oxygen,7.08
Barha Ghat,2021,pH,7.61
Barha Ghat,2022,Biochemical Oxygen Demand,6.18
Barha Ghat,2022,Dissolved Oxygen,7.6
Barha Ghat,2022,pH,7.85
Barha Ghat,2023,Biochemical Oxygen Demand,3.53
Barha Ghat,2023,Dissolved Oxygen,7.57
Barha Ghat,2023,pH,7.57
Baro kuti Ghat (D.S),2018,Biochemical Oxygen Demand,2.15
Baro kuti Ghat (D.S),2018,Dissolved Oxygen,7.14
Baro kuti Ghat (D.S),2018,pH,7.49
Baro kuti Ghat (D.S),2019,Biochemical Oxygen Demand,2.25
Baro kuti Ghat (D.S),2019,Dissolved Oxygen,7.29
Baro kuti Ghat (D.S),2019,pH,7.55
Baro kuti Ghat (D.S),2020,Biochemical Oxygen Demand,2.31
Baro kuti Ghat (D.S),2020,Dissolved Oxygen,7.56
Baro kuti Ghat (D.S),2020,pH,7.7
Baro kuti Ghat (U.S),2018,Biochemical Oxygen Demand,2.2
Baro kuti Ghat (U.S),2018,Dissolved Oxygen,7.25
Baro kuti Ghat (U.S),2018,pH,7.48
Baro kuti Ghat (U.S),2019,Biochemical Oxygen Demand,2.27
Baro kuti Ghat (U.S),2019,Dissolved Oxygen,7.31
Baro kuti Ghat (U.S),2019,pH,7.56
Baro kuti Ghat (U.S),2020,Biochemical Oxygen Demand,2.33
Baro kuti Ghat (U.S),2020,Dissolved Oxygen,7.53
Baro kuti Ghat (U.S),2020,pH,7.7
Basundia Bazar,2022,Biochemical Oxygen Demand,3.5
Basundia Bazar,2022,Dissolved Oxygen,1.01
Basundia Bazar,2022,pH,8.26
Basundia Bazar,2023,Biochemical Oxygen Demand,7.99
Basundia Bazar,2023,Dissolved Oxygen,5.33
Basundia Bazar,2023,pH,5.33
"Basundia Bazar, Aladipur",2021,Biochemical Oxygen Demand,2.6
"Basundia Bazar, Aladipur",2021,Dissolved Oxygen,4.62
"Basundia Bazar, Aladipur",2021,pH,8.23
Batiaghata By Pass,2021,Biochemical Oxygen Demand,2.6
Batiaghata By Pass,2021,Dissolved Oxygen,6.33
Batiaghata By Pass,2021,pH,8.22
Batiaghata By Pass,2022,Dissolved Oxygen,5.4
Batiaghata By Pass,2022,pH,7.46
Batiaghata By Pass,2023,Biochemical Oxygen Demand,8.02
Batiaghata By Pass,2023,Dissolved Oxygen,6.71
Batiaghata By Pass,2023,pH,6.71
Beltola Fery Gaht (M),2018,Biochemical Oxygen Demand,2.15
Beltola Fery Gaht (M),2018,Dissolved Oxygen,5.81
Beltola Fery Gaht (M),2018,pH,7.63
Beltola Fery Gaht (M),2019,Biochemical Oxygen Demand,2.04
Beltola Fery Gaht (M),2019,Dissolved Oxygen,6.04
Beltola Fery Gaht (M),2019,pH,7.65
Beltola Fery Gaht (M),2020,Biochemical Oxygen Demand,2.55
Beltola Fery Gaht (M),2020,Dissolved Oxygen,6.28
Beltola Fery Gaht (M),2020,pH,7.6
Beltola Fery Gaht (S),2018,Biochemical Oxygen Demand,2
Beltola Fery Gaht (S),2018,Dissolved Oxygen,5.84
Beltola Fery Gaht (S),2018,pH,7.65
Beltola Fery Gaht (S),2019,Biochemical Oxygen Demand,2.04
Beltola Fery Gaht (S),2019,Dissolved Oxygen,6.14
Beltola Fery Gaht (S),2019,pH,7.64
Beltola Fery Gaht (S),2020,Biochemical Oxygen Demand,2.48
Beltola Fery Gaht (S),2020,Dissolved Oxygen,6.45
Beltola Fery Gaht (S),2020,pH,7.72
Bhadurabad Ghat,2018,Dissolved Oxygen,7.31
Bhadurabad Ghat,2018,pH,8.43
Bhadurabad Ghat,2019,Biochemical Oxygen Demand,2.1
Bhadurabad Ghat,2019,Dissolved Oxygen,6.2
Bhadurabad Ghat,2019,pH,8.27
Bhairob Bazar,2018,Biochemical Oxygen Demand,1.2
Bhairob Bazar,2018,Chemical Oxygen Demand,13
Bhairob Bazar,2018,Dissolved Oxygen,7
Bhairob Bazar,2018,pH,7.37
Bhairob Bazar,2019,Biochemical Oxygen Demand,3.48
Bhairob Bazar,2019,Dissolved Oxygen,5.52
Bhairob Bazar,2019,pH,7.28
Bhairob Bazar,2020,Biochemical Oxygen Demand,3.48
Bhairob Bazar,2020,Dissolved Oxygen,5.52
Bhairob Bazar,2020,pH,7.28
Bhairob Bazar,2022,Biochemical Oxygen Demand,3.44
Bhairob Bazar,2022,Chemical Oxygen Demand,21.29
Bhairob Bazar,2022,Dissolved Oxygen,6.04
Bhairob Bazar,2022,pH,7.15
Bhairob Bazar,2023,Biochemical Oxygen Demand,7.5
Bhairob Bazar,2023,Dissolved Oxygen,6.09
Bhairob Bazar,2023,pH,6.09
"Bheutha Ghat, Manikganj",2021,Biochemical Oxygen Demand,5.25
"Bheutha Ghat, Manikganj",2021,Dissolved Oxygen,7.8
"Bheutha Ghat, Manikganj",2021,pH,7.42
"Bheutha Ghat, Manikganj",2022,Biochemical Oxygen Demand,6
"Bheutha Ghat, Manikganj",2022,Dissolved Oxygen,7.2
"Bheutha Ghat, Manikganj",2022,pH,7.53
"Bheutha Ghat, Manikganj",2023,Biochemical Oxygen Demand,6.6
"Bheutha Ghat, Manikganj",2023,Dissolved Oxygen,6.03
"Bheutha Ghat, Manikganj",2023,pH,6.03
"Bheutha Ghat, Manikgonj",2018,Biochemical Oxygen Demand,3.08
"Bheutha Ghat, Manikgonj",2018,Chemical Oxygen Demand,12.16
"Bheutha Ghat, Manikgonj",2018,Dissolved Oxygen,7.52
"Bheutha Ghat, Manikgonj",2018,pH,7.19
"Bheutha Ghat, Manikgonj",2019,Biochemical Oxygen Demand,3.67
"Bheutha Ghat, Manikgonj",2019,Dissolved Oxygen,6.26
"Bheutha Ghat, Manikgonj",2019,pH,7.54
"Bheutha Ghat, Manikgonj",2020,Biochemical Oxygen Demand,3.67
"Bheutha Ghat, Manikgonj",2020,Dissolved Oxygen,6.26
"Bheutha Ghat, Manikgonj",2020,pH,7.54
Bish Nondi Ghat,2021,Biochemical Oxygen Demand,7.525
Bish Nondi Ghat,2021,Dissolved Oxygen,5.65
Bish Nondi Ghat,2021,pH,7.285
Bisnondi,2022,Biochemical Oxygen Demand,5.1
Bisnondi,2022,Chemical Oxygen Demand,22.29
Bisnondi,2022,Dissolved Oxygen,5.34
Bisnondi,2022,pH,7.24
Bisnondi Ferry Ghat,2023,Biochemical Oxygen Demand,3.17
Bisnondi Ferry Ghat,2023,Dissolved Oxygen,5.62
Bisnondi Ferry Ghat,2023,pH,5.62
Boraikhali,2020,Chemical Oxygen Demand,88
Boraikhali,2020,Dissolved Oxygen,7.79
Boraikhali,2020,pH,7.02
Boshontopur,2021,Biochemical Oxygen Demand,6
Boshontopur,2021,Dissolved Oxygen,8.31
Boshontopur,2021,pH,4.8
Boshontopur,2022,Biochemical Oxygen Demand,1.3
Boshontopur,2022,Dissolved Oxygen,5.4
Boshontopur,2022,pH,7.75
Boshontopur,2023,Biochemical Oxygen Demand,6.06
Boshontopur,2023,Dissolved Oxygen,6.26
Boshontopur,2023,pH,6.26
Bosila Bridge,2021,Biochemical Oxygen Demand,22.92
Bosila Bridge,2021,Chemical Oxygen Demand,56.9
Bosila Bridge,2021,Dissolved Oxygen,2.15
Bosila Bridge,2021,pH,7.25
Bosila Bridge,2022,Biochemical Oxygen Demand,12.83
Bosila Bridge,2022,Chemical Oxygen Demand,42.25
Bosila Bridge,2022,Dissolved Oxygen,2.92
Bosila Bridge,2022,pH,7.25
Bosila Bridge,2023,Biochemical Oxygen Demand,9
Bosila Bridge,2023,Chemical Oxygen Demand,36.11
Bosila Bridge,2023,Dissolved Oxygen,2.49
Bosila Bridge,2023,pH,2.49
Buro Moulavir Darga,2021,Biochemical Oxygen Demand,57
Buro Moulavir Darga,2021,Dissolved Oxygen,2.04
Buro Moulavir Darga,2021,pH,7.84
Buro Moulavir Darga,2022,Biochemical Oxygen Demand,57
Buro Moulavir Darga,2022,Dissolved Oxygen,2.04
Buro Moulavir Darga,2022,pH,7.84
Buro Moulavir Darga,2023,Biochemical Oxygen Demand,17.39
Buro Moulavir Darga,2023,Dissolved Oxygen,0
Buro Moulavir Darga,2023,pH,0
CETP (DN),2018,Biochemical Oxygen Demand,10.55
CETP (DN),2018,Chemical Oxygen Demand,30.37
CETP (DN),2018,Dissolved Oxygen,3.37
CETP (DN),2018,pH,7.75
CETP (DN),2019,Biochemical Oxygen Demand,2.84
CETP (DN),2019,Chemical Oxygen Demand,15.8
CETP (DN),2019,Dissolved Oxygen,3.82
CETP (DN),2019,pH,7.75
CETP (Dr),2018,Biochemical Oxygen Demand,36.77
CETP (Dr),2018,Chemical Oxygen Demand,118.87
CETP (Dr),2018,Dissolved Oxygen,2.24
CETP (Dr),2018,pH,7.86
CETP (Dr),2019,Biochemical Oxygen Demand,5.44
CETP (Dr),2019,Chemical Oxygen Demand,24.4
CETP (Dr),2019,Dissolved Oxygen,3.52
CETP (Dr),2019,pH,7.86
CETP (Up),2018,Biochemical Oxygen Demand,5.63
CETP (Up),2018,Chemical Oxygen Demand,25
CETP (Up),2018,Dissolved Oxygen,4.13
CETP (Up),2018,pH,7.83
CETP (Up),2019,Biochemical Oxygen Demand,2.72
CETP (Up),2019,Chemical Oxygen Demand,12
CETP (Up),2019,Dissolved Oxygen,4.22
CETP (Up),2019,pH,7.83
CUFL,2018,Chemical Oxygen Demand,214.33
CUFL,2018,Dissolved Oxygen,6.7
CUFL,2018,Salinity,9.13
CUFL,2018,pH,7.58
CUFL,2019,Chemical Oxygen Demand,581
CUFL,2019,Dissolved Oxygen,7.22
CUFL,2019,pH,7.71
CUFL,2021,Biochemical Oxygen Demand,75.64
CUFL,2021,Chemical Oxygen Demand,286.55
CUFL,2021,Dissolved Oxygen,7.32
CUFL,2021,pH,7.65
CUFL,2022,Biochemical Oxygen Demand,11.35
CUFL,2022,Chemical Oxygen Demand,53.25
CUFL,2022,Dissolved Oxygen,7.58
CUFL,2022,pH,7.25
CUFL,2023,Biochemical Oxygen Demand,6.75
CUFL,2023,Chemical Oxygen Demand,39.08
CUFL,2023,Dissolved Oxygen,7.65
CUFL,2023,pH,7.65
CUFL Side Anowara,2020,Biochemical Oxygen Demand,628.42
CUFL Side Anowara,2020,Chemical Oxygen Demand,581
CUFL Side Anowara,2020,Dissolved Oxygen,7.21
CUFL Side Anowara,2020,pH,7.65
Chadnighat,2018,Biochemical Oxygen Demand,9.5
Chadnighat,2018,Chemical Oxygen Demand,30
Chadnighat,2018,Dissolved Oxygen,2.11
Chadnighat,2018,pH,7.35
Chadnighat,2019,Biochemical Oxygen Demand,10.15
Chadnighat,2019,Chemical Oxygen Demand,38.83
Chadnighat,2019,Dissolved Oxygen,1.22
Chadnighat,2019,pH,7.29
Chadnighat,2020,Biochemical Oxygen Demand,14.7
Chadnighat,2020,Chemical Oxygen Demand,57.5
Chadnighat,2020,Dissolved Oxygen,2.12
Chadnighat,2020,pH,7.19
Chadnighat,2021,Biochemical Oxygen Demand,19.44
Chadnighat,2021,Chemical Oxygen Demand,58.9
Chadnighat,2021,Dissolved Oxygen,1.66
Chadnighat,2021,pH,7.26
Chadnighat,2022,Biochemical Oxygen Demand,13.98
Chadnighat,2022,Chemical Oxygen Demand,46.25
Chadnighat,2022,Dissolved Oxygen,2.17
Chadnighat,2022,pH,7.17
Chadnighat,2023,Biochemical Oxygen Demand,12.22
Chadnighat,2023,Chemical Oxygen Demand,31.56
Chadnighat,2023,Dissolved Oxygen,1.7
Chadnighat,2023,pH,1.7
Charer Hat (M),2022,Biochemical Oxygen Demand,1.3
Charer Hat (M),2022,Dissolved Oxygen,5.1
Charer Hat (M),2022,pH,8.06
Charer Hat Sulpur Aijgati (M),2023,Biochemical Oxygen Demand,10.27
Charer Hat Sulpur Aijgati (M),2023,Dissolved Oxygen,6.32
Charer Hat Sulpur Aijgati (M),2023,pH,6.32
"Charer Hat, Sulpur Aijgati (M)",2021,Biochemical Oxygen Demand,1.75
"Charer Hat, Sulpur Aijgati (M)",2021,Dissolved Oxygen,6.13
"Charer Hat, Sulpur Aijgati (M)",2021,pH,8.38
Charerhat Ghat (M),2018,pH,5.77
Charerhat Ghat (O),2018,Biochemical Oxygen Demand,0.85
Charerhat Ghat (O),2018,pH,5.77
Charerhat Ghat (S),2018,Biochemical Oxygen Demand,0.85
Chhatak,2018,Biochemical Oxygen Demand,2.2
Chhatak,2018,Chemical Oxygen Demand,17.6
Chhatak,2018,Dissolved Oxygen,6.76
Chhatak,2018,pH,8.08
Chhatak,2019,Biochemical Oxygen Demand,2.1
Chhatak,2019,Chemical Oxygen Demand,10
Chhatak,2019,Dissolved Oxygen,6.9
Chhatak,2019,pH,7.9
Chhatak,2020,Biochemical Oxygen Demand,2.14
Chhatak,2020,Chemical Oxygen Demand,9.75
Chhatak,2020,Dissolved Oxygen,7
Chhatak,2020,pH,6.83
Chhatak,2021,Biochemical Oxygen Demand,2.71
Chhatak,2021,Chemical Oxygen Demand,18
Chhatak,2021,Dissolved Oxygen,6.99
Chhatak,2021,pH,6.85
Chhatak,2022,Biochemical Oxygen Demand,2.5
Chhatak,2022,Chemical Oxygen Demand,10
Chhatak,2022,Dissolved Oxygen,6.98
Chhatak,2022,pH,6.84
Chhatak,2023,Biochemical Oxygen Demand,3
Chhatak,2023,Chemical Oxygen Demand,9.75
Chhatak,2023,Dissolved Oxygen,7.74
Chhatak,2023,pH,7.74
Demra Ghat,2018,Biochemical Oxygen Demand,7.19
Demra Ghat,2018,Chemical Oxygen Demand,28.74
Demra Ghat,2018,Dissolved Oxygen,3.77
Demra Ghat,2018,pH,7.71
Demra Ghat,2019,Biochemical Oxygen Demand,10.28
Demra Ghat,2019,Chemical Oxygen Demand,38.4
Demra Ghat,2019,Dissolved Oxygen,2.46
Demra Ghat,2019,pH,7.16
Demra Ghat,2020,Biochemical Oxygen Demand,15.68
Demra Ghat,2020,Chemical Oxygen Demand,49.4
Demra Ghat,2020,Dissolved Oxygen,1.65
Demra Ghat,2020,pH,7.27
Dhalaitala,2021,Biochemical Oxygen Demand,3.5
Dhalaitala,2021,Dissolved Oxygen,4.3
Dhalaitala,2021,pH,7.86
Dhalaitala,2023,Biochemical Oxygen Demand,4.57
Dhalaitala,2023,Dissolved Oxygen,6.65
Dhalaitala,2023,pH,6.65
Dopdopia Kheyaghat (M),2018,Biochemical Oxygen Demand,2.16
Dopdopia Kheyaghat (M),2018,Dissolved Oxygen,5.75
Dopdopia Kheyaghat (M),2018,pH,7.71
Dopdopia Kheyaghat (M),2019,Biochemical Oxygen Demand,2.07
Dopdopia Kheyaghat (M),2019,Dissolved Oxygen,6.01
Dopdopia Kheyaghat (M),2019,pH,7.71
Dopdopia Kheyaghat (M),2020,Biochemical Oxygen Demand,2.41
Dopdopia Kheyaghat (M),2020,Dissolved Oxygen,6.21
Dopdopia Kheyaghat (M),2020,pH,7.29
Dopdopia Kheyaghat (M),2021,Dissolved Oxygen,5.76
Dopdopia Kheyaghat (M),2021,pH,7.96
Dopdopia Kheyaghat (M),2022,Chemical Oxygen Demand,230.5
Dopdopia Kheyaghat (M),2022,Dissolved Oxygen,6.85
Dopdopia Kheyaghat (M),2022,pH,7.75
Dopdopia Kheyaghat (M),2023,Dissolved Oxygen,6.84
Dopdopia Kheyaghat (M),2023,pH,6.84
Dopdopia Kheyaghat (S),2018,Biochemical Oxygen Demand,2.12
Dopdopia Kheyaghat (S),2018,Dissolved Oxygen,5.74
Dopdopia Kheyaghat (S),2018,pH,7.7
Dopdopia Kheyaghat (S),2019,Biochemical Oxygen Demand,2.09
Dopdopia Kheyaghat (S),2019,Dissolved Oxygen,5.95
Dopdopia Kheyaghat (S),2019,pH,7.71
Dopdopia Kheyaghat (S),2020,Biochemical Oxygen Demand,2.43
Dopdopia Kheyaghat (S),2020,Dissolved Oxygen,6.21
Dopdopia Kheyaghat (S),2020,pH,7.33
Dopdopia Kheyaghat (S),2021,Dissolved Oxygen,5.75
Dopdopia Kheyaghat (S),2021,pH,7.98
Dopdopia Kheyaghat (S),2022,Chemical Oxygen Demand,276
Dopdopia Kheyaghat (S),2022,Dissolved Oxygen,6.55
Dopdopia Kheyaghat (S),2022,pH,7.95
Dopdopia Kheyaghat (S),2023,Dissolved Oxygen,7.36
Dopdopia Kheyaghat (S),2023,pH,7.36
Dorshona Railway Junction,2021,Biochemical Oxygen Demand,2.33
Dorshona Railway Junction,2021,Dissolved Oxygen,5.71
Dorshona Railway Junction,2021,pH,8.32
Doshgate Jalma,2021,Biochemical Oxygen Demand,36
Doshgate Jalma,2021,Dissolved Oxygen,4.18
Doshgate Jalma,2021,pH,7.83
Doshgate Jalma,2022,Biochemical Oxygen Demand,36
Doshgate Jalma,2022,Dissolved Oxygen,4.18
Doshgate Jalma,2022,pH,7.83
Doshgate Jalma,2023,Biochemical Oxygen Demand,23.86
