Relation,Primary_Key,Source_Kept,Value_Kept,Source_Rejected,Value_Rejected,Conflict_Class
Temperature_Record,Sitakunda | 2011 | 5 | Minimum,BMD B53,24.4,BBS B01,24.3,rounding
Temperature_Record,Sitakunda | 2011 | 6 | Maximum,BMD B53,31.8,BBS B03,31.7,substantive
Temperature_Record,Sitakunda | 2011 | 7 | Minimum,BMD B53,25.4,BBS B01,25.3,rounding
Temperature_Record,Sitakunda | 2011 | 8 | Minimum,BMD B53,25.2,BBS B01,25.1,rounding
Temperature_Record,Sitakunda | 2011 | 9 | Maximum,BMD B53,31.8,BBS B03,31.7,substantive
Temperature_Record,Sitakunda | 2011 | 9 | Minimum,BMD B53,25.3,BBS B01,25.2,substantive
Temperature_Record,Sitakunda | 2011 | 11 | Maximum,BMD B53,31.1,BBS B03,31.0,substantive
Temperature_Record,Sitakunda | 2011 | 11 | Minimum,BMD B53,17.1,BBS B01,17.0,substantive
Temperature_Record,Sitakunda | 2011 | 12 | Maximum,BMD B53,27.5,BBS B03,27.4,substantive
Temperature_Record,Sitakunda | 2011 | 12 | Minimum,BMD B53,13.6,BBS B01,13.5,rounding
Temperature_Record,Rangamati | 2011 | 1 | Maximum,BMD B53,25.8,BBS B03,25.7,substantive
Temperature_Record,Rangamati | 2011 | 1 | Minimum,BMD B53,11.7,BBS B01,11.6,rounding
Temperature_Record,Rangamati | 2011 | 2 | Minimum,BMD B53,14.9,BBS B01,14.8,rounding
Temperature_Record,Rangamati | 2011 | 4 | Minimum,BMD B53,22.2,BBS B01,22.1,rounding
Temperature_Record,Rangamati | 2011 | 6 | Maximum,BMD B53,32.2,BBS B03,32.1,substantive
Temperature_Record,Rangamati | 2011 | 6 | Minimum,BMD B53,24.7,BBS B01,24.6,rounding
Temperature_Record,Rangamati | 2011 | 7 | Maximum,BMD B53,32.2,BBS B03,32.1,substantive
Temperature_Record,Rangamati | 2011 | 7 | Minimum,BMD B53,24.5,BBS B01,24.4,substantive
Temperature_Record,Rangamati | 2011 | 8 | Maximum,BMD B53,31.7,BBS B03,31.6,rounding
Temperature_Record,Rangamati | 2011 | 8 | Minimum,BMD B53,24.3,BBS B01,24.2,substantive
Temperature_Record,Rangamati | 2011 | 9 | Maximum,BMD B53,32.4,BBS B03,32.3,substantive
Temperature_Record,Rangamati | 2011 | 10 | Minimum,BMD B53,23.2,BBS B01,23.1,rounding
Temperature_Record,Rangamati | 2011 | 11 | Maximum,BMD B53,29.8,BBS B03,29.7,substantive
Temperature_Record,Rangamati | 2011 | 11 | Minimum,BMD B53,17.3,BBS B01,17.2,substantive
Temperature_Record,Rangamati | 2011 | 12 | Maximum,BMD B53,26.7,BBS B03,26.6,rounding
Temperature_Record,Comilla | 2011 | 1 | Maximum,BMD B53,24.1,BBS B03,24.0,substantive
Temperature_Record,Comilla | 2011 | 2 | Maximum,BMD B53,28.3,BBS B03,28.2,substantive
Temperature_Record,Comilla | 2011 | 3 | Maximum,BMD B53,30.8,BBS B03,30.7,substantive
Temperature_Record,Comilla | 2011 | 4 | Minimum,BMD B53,22.1,BBS B01,22.0,substantive
Temperature_Record,Comilla | 2011 | 5 | Minimum,BMD B53,24.1,BBS B01,24.0,substantive
Temperature_Record,Comilla | 2011 | 7 | Maximum,BMD B53,32.0,BBS B03,31.9,substantive
Temperature_Record,Comilla | 2011 | 8 | Maximum,BMD B53,31.4,BBS B03,31.3,rounding
Temperature_Record,Comilla | 2011 | 9 | Minimum,BMD B53,25.7,BBS B01,25.6,rounding
Temperature_Record,Comilla | 2011 | 11 | Maximum,BMD B53,29.7,BBS B03,29.6,rounding
Temperature_Record,Comilla | 2011 | 12 | Maximum,BMD B53,25.2,BBS B03,25.1,rounding
Temperature_Record,Comilla | 2011 | 12 | Minimum,BMD B53,14.5,BBS B01,14.4,rounding
Temperature_Record,Chandpur | 2011 | 2 | Minimum,BMD B53,16.2,BBS B01,16.1,rounding
Temperature_Record,Chandpur | 2011 | 5 | Maximum,BMD B53,33.6,BBS B03,33.5,substantive
Temperature_Record,Chandpur | 2011 | 6 | Maximum,BMD B53,32.5,BBS B03,32.4,substantive
Temperature_Record,Chandpur | 2011 | 7 | Maximum,BMD B53,32.3,BBS B03,32.2,rounding
Temperature_Record,Chandpur | 2011 | 7 | Minimum,BMD B53,26.1,BBS B01,26.0,substantive
Temperature_Record,Chandpur | 2011 | 8 | Maximum,BMD B53,31.5,BBS B03,31.4,substantive
Temperature_Record,Chandpur | 2011 | 9 | Minimum,BMD B53,26.1,BBS B01,26.0,substantive
Temperature_Record,Chandpur | 2011 | 10 | Maximum,BMD B53,33.4,BBS B03,33.3,substantive
Temperature_Record,Chandpur | 2011 | 11 | Maximum,BMD B53,30.6,BBS B03,30.5,substantive
Temperature_Record,Chandpur | 2011 | 11 | Minimum,BMD B53,19.2,BBS B01,19.1,rounding
Temperature_Record,Maijdi Court | 2011 | 1 | Minimum,BMD B53,12.8,BBS B01,12.7,substantive
Temperature_Record,Maijdi Court | 2011 | 2 | Maximum,BMD B53,28.9,BBS B03,28.8,rounding
Temperature_Record,Maijdi Court | 2011 | 3 | Maximum,BMD B53,32.0,BBS B03,31.9,substantive
Temperature_Record,Maijdi Court | 2011 | 5 | Minimum,BMD B53,24.7,BBS B01,24.6,rounding
Temperature_Record,Maijdi Court | 2011 | 6 | Maximum,BMD B53,32.0,BBS B03,31.9,substantive
Temperature_Record,Maijdi Court | 2011 | 8 | Minimum,BMD B53,26.1,BBS B01,26.0,substantive
Temperature_Record,Maijdi Court | 2011 | 9 | Maximum,BMD B53,31.9,BBS B03,31.8,rounding
Temperature_Record,Feni | 2011 | 2 | Maximum,BMD B53,29.0,BBS B03,28.9,substantive
Temperature_Record,Feni | 2011 | 2 | Minimum,BMD B53,15.9,BBS B01,15.8,rounding
Temperature_Record,Feni | 2011 | 3 | Maximum,BMD B53,31.3,BBS B03,31.2,substantive
Temperature_Record,Feni | 2011 | 4 | Maximum,BMD B53,32.7,BBS B03,32.6,substantive
Temperature_Record,Feni | 2011 | 4 | Minimum,BMD B53,22.6,BBS B01,22.5,substantive
Temperature_Record,Feni | 2011 | 5 | Maximum,BMD B53,32.5,BBS B03,32.4,substantive
Temperature_Record,Feni | 2011 | 5 | Minimum,BMD B53,24.2,BBS B01,24.1,rounding
Temperature_Record,Feni | 2011 | 6 | Minimum,BMD B53,25.5,BBS B01,25.4,substantive
Temperature_Record,Feni | 2011 | 7 | Maximum,BMD B53,31.3,BBS B03,31.2,substantive
Temperature_Record,Feni | 2011 | 8 | Minimum,BMD B53,25.3,BBS B01,25.2,substantive
Temperature_Record,Feni | 2011 | 9 | Maximum,BMD B53,31.4,BBS B03,31.3,rounding
Temperature_Record,Feni | 2011 | 11 | Minimum,BMD B53,18.1,BBS B01,18.0,substantive
Temperature_Record,Feni | 2011 | 12 | Minimum,BMD B53,14.6,BBS B01,14.5,rounding
Temperature_Record,Hatiya | 2011 | 1 | Maximum,BMD B53,25.5,BBS B03,25.4,substantive
Temperature_Record,Hatiya | 2011 | 1 | Minimum,BMD B53,11.9,BBS B01,11.8,rounding
Temperature_Record,Hatiya | 2011 | 2 | Maximum,BMD B53,29.3,BBS B03,29.2,substantive
Temperature_Record,Hatiya | 2011 | 2 | Minimum,BMD B53,15.8,BBS B01,15.7,substantive
Temperature_Record,Hatiya | 2011 | 3 | Minimum,BMD B53,20.2,BBS B01,20.1,rounding
Temperature_Record,Hatiya | 2011 | 4 | Maximum,BMD B53,32.5,BBS B03,32.4,substantive
Temperature_Record,Hatiya | 2011 | 4 | Minimum,BMD B53,23.2,BBS B01,23.1,rounding
Temperature_Record,Hatiya | 2011 | 5 | Minimum,BMD B53,25.2,BBS B01,25.1,rounding
Temperature_Record,Hatiya | 2011 | 6 | Maximum,BMD B53,30.8,BBS B03,30.7,substantive
Temperature_Record,Hatiya | 2011 | 6 | Minimum,BMD B53,26.1,BBS B01,26.0,substantive
Temperature_Record,Hatiya | 2011 | 8 | Minimum,BMD B53,25.8,BBS B01,25.7,substantive
Temperature_Record,Hatiya | 2011 | 9 | Minimum,BMD B53,25.8,BBS B01,25.7,substantive
Temperature_Record,Hatiya | 2011 | 10 | Minimum,BMD B53,24.6,BBS B01,24.5,substantive
Temperature_Record,Hatiya | 2011 | 11 | Maximum,BMD B53,30.3,BBS B03,30.2,substantive
Temperature_Record,Hatiya | 2011 | 11 | Minimum,BMD B53,18.9,BBS B01,18.8,rounding
Temperature_Record,Hatiya | 2011 | 12 | Maximum,BMD B53,26.2,BBS B03,26.1,rounding
Temperature_Record,Cox's Bazar | 2011 | 1 | Maximum,BMD B53,27.0,BBS B03,26.9,substantive
Temperature_Record,Cox's Bazar | 2011 | 1 | Minimum,BMD B53,14.9,BBS B01,14.8,rounding
Temperature_Record,Cox's Bazar | 2011 | 2 | Minimum,BMD B53,17.8,BBS B01,17.7,substantive
Temperature_Record,Cox's Bazar | 2011 | 3 | Maximum,BMD B53,32.3,BBS B03,32.2,rounding
Temperature_Record,Cox's Bazar | 2011 | 5 | Minimum,BMD B53,24.7,BBS B01,24.6,rounding
Temperature_Record,Cox's Bazar | 2011 | 6 | Maximum,BMD B53,31.3,BBS B03,31.2,substantive
Temperature_Record,Cox's Bazar | 2011 | 7 | Maximum,BMD B53,31.2,BBS B03,31.1,rounding
Temperature_Record,Cox's Bazar | 2011 | 8 | Maximum,BMD B53,30.9,BBS B03,30.8,rounding
Temperature_Record,Cox's Bazar | 2011 | 9 | Maximum,BMD B53,31.1,BBS B03,31.0,substantive
Temperature_Record,Cox's Bazar | 2011 | 9 | Minimum,BMD B53,24.9,BBS B01,24.8,rounding
Temperature_Record,Cox's Bazar | 2011 | 10 | Minimum,BMD B53,23.9,BBS B01,23.8,rounding
Temperature_Record,Cox's Bazar | 2011 | 11 | Minimum,BMD B53,19.5,BBS B01,19.4,substantive
Temperature_Record,Cox's Bazar | 2011 | 12 | Maximum,BMD B53,27.6,BBS B03,27.5,substantive
Temperature_Record,Kutubdia | 2011 | 1 | Minimum,BMD B53,14.6,BBS B01,14.5,rounding
Temperature_Record,Kutubdia | 2011 | 2 | Minimum,BMD B53,17.7,BBS B01,17.6,rounding
Temperature_Record,Kutubdia | 2011 | 3 | Minimum,BMD B53,20.7,BBS B01,20.6,rounding
Temperature_Record,Kutubdia | 2011 | 5 | Maximum,BMD B53,31.9,BBS B03,31.8,rounding
Temperature_Record,Kutubdia | 2011 | 5 | Minimum,BMD B53,25.3,BBS B01,25.2,substantive
Temperature_Record,Kutubdia | 2011 | 6 | Minimum,BMD B53,26.0,BBS B01,25.9,substantive
Temperature_Record,Kutubdia | 2011 | 7 | Maximum,BMD B53,30.6,BBS B03,30.5,substantive
Temperature_Record,Kutubdia | 2011 | 7 | Minimum,BMD B53,26.0,BBS B01,25.9,substantive
Temperature_Record,Kutubdia | 2011 | 8 | Maximum,BMD B53,30.6,BBS B03,30.5,substantive
Temperature_Record,Kutubdia | 2011 | 8 | Minimum,BMD B53,25.7,BBS B01,25.6,rounding
Temperature_Record,Kutubdia | 2011 | 10 | Maximum,BMD B53,32.0,BBS B03,31.9,substantive
Temperature_Record,Kutubdia | 2011 | 10 | Minimum,BMD B53,24.8,BBS B01,24.7,substantive
Temperature_Record,Kutubdia | 2011 | 11 | Maximum,BMD B53,30.1,BBS B03,30.0,substantive
Temperature_Record,Kutubdia | 2011 | 12 | Maximum,BMD B53,26.2,BBS B03,26.1,rounding
Temperature_Record,Kutubdia | 2011 | 12 | Minimum,BMD B53,16.4,BBS B01,16.3,rounding
Temperature_Record,Teknaf | 2011 | 1 | Maximum,BMD B53,27.1,BBS B03,27.0,substantive
Temperature_Record,Teknaf | 2011 | 1 | Minimum,BMD B53,14.9,BBS B01,14.8,rounding
Temperature_Record,Teknaf | 2011 | 3 | Minimum,BMD B53,19.3,BBS B01,19.2,substantive
Temperature_Record,Teknaf | 2011 | 4 | Maximum,BMD B53,31.3,BBS B03,31.2,substantive
Temperature_Record,Teknaf | 2011 | 6 | Minimum,BMD B53,25.4,BBS B01,25.3,rounding
Temperature_Record,Teknaf | 2011 | 7 | Maximum,BMD B53,30.4,BBS B03,30.3,rounding
Temperature_Record,Teknaf | 2011 | 9 | Minimum,BMD B53,25.2,BBS B01,25.1,rounding
Temperature_Record,Teknaf | 2011 | 11 | Maximum,BMD B53,30.6,BBS B03,30.5,substantive
Temperature_Record,Teknaf | 2011 | 11 | Minimum,BMD B53,18.3,BBS B01,18.2,substantive
Temperature_Record,Teknaf | 2011 | 12 | Minimum,BMD B53,16.4,BBS B01,16.3,rounding
Temperature_Record,Sylhet | 2011 | 1 | Maximum,BMD B53,24.1,BBS B03,24.0,substantive
Temperature_Record,Sylhet | 2011 | 2 | Minimum,BMD B53,15.5,BBS B01,15.4,rounding
Temperature_Record,Sylhet | 2011 | 3 | Maximum,BMD B53,31.4,BBS B03,31.3,rounding
Temperature_Record,Sylhet | 2011 | 4 | Minimum,BMD B53,22.1,BBS B01,22.0,substantive
Temperature_Record,Sylhet | 2011 | 5 | Maximum,BMD B53,31.8,BBS B03,31.7,substantive
Temperature_Record,Sylhet | 2011 | 5 | Minimum,BMD B53,23.3,BBS B01,23.2,substantive
Temperature_Record,Sylhet | 2011 | 6 | Maximum,BMD B53,32.6,BBS B03,32.5,substantive
Temperature_Record,Sylhet | 2011 | 7 | Maximum,BMD B53,32.5,BBS B03,32.4,substantive
Temperature_Record,Sylhet | 2011 | 8 | Maximum,BMD B53,32.6,BBS B03,32.5,substantive
Temperature_Record,Sylhet | 2011 | 8 | Minimum,BMD B53,25.6,BBS B01,25.5,substantive
Temperature_Record,Sylhet | 2011 | 10 | Maximum,BMD B53,33.5,BBS B03,33.4,substantive
Temperature_Record,Sylhet | 2011 | 12 | Minimum,BMD B53,15.3,BBS B01,15.2,substantive
Temperature_Record,Srimangal | 2011 | 1 | Maximum,BMD B53,23.7,BBS B03,23.6,rounding
Temperature_Record,Srimangal | 2011 | 3 | Maximum,BMD B53,31.3,BBS B03,31.2,substantive
Temperature_Record,Srimangal | 2011 | 3 | Minimum,BMD B53,17.6,BBS B01,17.5,substantive
Temperature_Record,Srimangal | 2011 | 5 | Maximum,BMD B53,32.2,BBS B03,32.1,substantive
Temperature_Record,Srimangal | 2011 | 6 | Minimum,BMD B53,25.0,BBS B01,24.9,substantive
Temperature_Record,Srimangal | 2011 | 7 | Maximum,BMD B53,32.5,BBS B03,32.4,substantive
Temperature_Record,Srimangal | 2011 | 8 | Minimum,BMD B53,25.3,BBS B01,25.2,substantive
Temperature_Record,Srimangal | 2011 | 9 | Maximum,BMD B53,33.3,BBS B03,33.2,rounding
Temperature_Record,Srimangal | 2011 | 10 | Maximum,BMD B53,33.0,BBS B03,32.9,substantive
Temperature_Record,Srimangal | 2011 | 10 | Minimum,BMD B53,22.2,BBS B01,22.1,rounding
Temperature_Record,Srimangal | 2011 | 11 | Maximum,BMD B53,30.1,BBS B03,30.0,substantive
Temperature_Record,Srimangal | 2011 | 12 | Maximum,BMD B53,25.9,BBS B03,25.8,rounding
Temperature_Record,Rajshahi | 2011 | 1 | Minimum,BMD B53,8.6,BBS B01,8.5,rounding
Temperature_Record,Rajshahi | 2011 | 2 | Maximum,BMD B53,28.3,BBS B03,28.2,substantive
Temperature_Record,Rajshahi | 2011 | 2 | Minimum,BMD B53,12.6,BBS B01,12.5,rounding
Temperature_Record,Rajshahi | 2011 | 3 | Maximum,BMD B53,33.7,BBS B03,33.6,substantive
Temperature_Record,Rajshahi | 2011 | 4 | Maximum,BMD B53,34.8,BBS B03,34.7,rounding
Temperature_Record,Rajshahi | 2011 | 4 | Minimum,BMD B53,22.2,BBS B01,22.1,rounding
Temperature_Record,Rajshahi | 2011 | 5 | Maximum,BMD B53,34.6,BBS B03,34.5,substantive
Temperature_Record,Rajshahi | 2011 | 10 | Maximum,BMD B53,32.9,BBS B03,32.8,substantive
Temperature_Record,Rajshahi | 2011 | 10 | Minimum,BMD B53,23.3,BBS B01,23.2,substantive
Temperature_Record,Rajshahi | 2011 | 11 | Minimum,BMD B53,17.0,BBS B01,16.9,substantive
Temperature_Record,Ishurdi | 2011 | 1 | Maximum,BMD B53,22.7,BBS B03,22.6,rounding
Temperature_Record,Ishurdi | 2011 | 2 | Minimum,BMD B53,12.6,BBS B01,12.5,rounding
Temperature_Record,Ishurdi | 2011 | 3 | Maximum,BMD B53,33.0,BBS B03,32.9,substantive
Temperature_Record,Ishurdi | 2011 | 5 | Minimum,BMD B53,24.1,BBS B01,24.0,substantive
Temperature_Record,Ishurdi | 2011 | 6 | Maximum,BMD B53,34.1,BBS B03,34.0,substantive
Temperature_Record,Ishurdi | 2011 | 6 | Minimum,BMD B53,26.2,BBS B01,26.1,rounding
Temperature_Record,Ishurdi | 2011 | 7 | Maximum,BMD B53,33.3,BBS B03,33.2,rounding
Temperature_Record,Ishurdi | 2011 | 8 | Maximum,BMD B53,31.7,BBS B03,31.6,rounding
Temperature_Record,Ishurdi | 2011 | 9 | Minimum,BMD B53,26.1,BBS B01,26.0,substantive
Temperature_Record,Ishurdi | 2011 | 10 | Maximum,BMD B53,32.9,BBS B03,32.8,substantive
Temperature_Record,Ishurdi | 2011 | 12 | Maximum,BMD B53,24.2,BBS B03,24.1,rounding
Temperature_Record,Bogura | 2011 | 2 | Maximum,BMD B53,28.3,BBS B03,28.2,substantive
Temperature_Record,Bogura | 2011 | 2 | Minimum,BMD B53,14.7,BBS B01,14.6,rounding
Temperature_Record,Bogura | 2011 | 5 | Maximum,BMD B53,33.0,BBS B03,32.9,substantive
Temperature_Record,Bogura | 2011 | 7 | Maximum,BMD B53,32.9,BBS B03,32.8,substantive
Temperature_Record,Bogura | 2011 | 8 | Maximum,BMD B53,32.1,BBS B03,32.0,substantive
Temperature_Record,Bogura | 2011 | 8 | Minimum,BMD B53,26.3,BBS B01,26.2,substantive
Temperature_Record,Bogura | 2011 | 9 | Maximum,BMD B53,32.9,BBS B03,32.8,substantive
Temperature_Record,Bogura | 2011 | 9 | Minimum,BMD B53,26.2,BBS B01,26.1,rounding
Temperature_Record,Rangpur | 2011 | 1 | Maximum,BMD B53,21.0,BBS B03,20.9,substantive
Temperature_Record,Rangpur | 2011 | 2 | Minimum,BMD B53,14.0,BBS B01,13.9,rounding
Temperature_Record,Rangpur | 2011 | 3 | Maximum,BMD B53,29.9,BBS B03,29.8,rounding
Temperature_Record,Rangpur | 2011 | 4 | Maximum,BMD B53,31.6,BBS B03,31.5,substantive
Temperature_Record,Rangpur | 2011 | 5 | Minimum,BMD B53,23.2,BBS B01,23.1,rounding
Temperature_Record,Rangpur | 2011 | 6 | Maximum,BMD B53,32.8,BBS B03,32.7,rounding
Temperature_Record,Rangpur | 2011 | 6 | Minimum,BMD B53,25.3,BBS B01,25.2,substantive
Temperature_Record,Rangpur | 2011 | 8 | Minimum,BMD B53,26.1,BBS B01,26.0,substantive
Temperature_Record,Rangpur | 2011 | 9 | Maximum,BMD B53,32.6,BBS B03,32.5,substantive
Temperature_Record,Rangpur | 2011 | 12 | Maximum,BMD B53,23.3,BBS B03,23.2,substantive
Temperature_Record,Rangpur | 2011 | 12 | Minimum,BMD B53,13.0,BBS B01,12.9,rounding
Temperature_Record,Dinajpur | 2011 | 1 | Maximum,BMD B53,20.9,BBS B03,20.8,rounding
Temperature_Record,Dinajpur | 2011 | 1 | Minimum,BMD B53,9.2,BBS B01,9.1,rounding
Temperature_Record,Dinajpur | 2011 | 2 | Maximum,BMD B53,27.1,BBS B03,27.0,substantive
Temperature_Record,Dinajpur | 2011 | 4 | Maximum,BMD B53,31.9,BBS B03,31.8,rounding
Temperature_Record,Dinajpur | 2011 | 4 | Minimum,BMD B53,21.4,BBS B01,21.3,rounding
Temperature_Record,Dinajpur | 2011 | 5 | Maximum,BMD B53,32.3,BBS B03,32.2,rounding
Temperature_Record,Dinajpur | 2011 | 6 | Minimum,BMD B53,25.5,BBS B01,25.4,substantive
Temperature_Record,Dinajpur | 2011 | 7 | Maximum,BMD B53,32.6,BBS B03,32.5,substantive
Temperature_Record,Dinajpur | 2011 | 7 | Minimum,BMD B53,26.3,BBS B01,26.2,substantive
Temperature_Record,Dinajpur | 2011 | 9 | Minimum,BMD B53,26.1,BBS B01,26.0,substantive
Temperature_Record,Dinajpur | 2011 | 11 | Maximum,BMD B53,28.8,BBS B03,28.7,substantive
Temperature_Record,Dinajpur | 2011 | 11 | Minimum,BMD B53,16.5,BBS B01,16.4,substantive
Temperature_Record,Dinajpur | 2011 | 12 | Maximum,BMD B53,23.6,BBS B03,23.5,substantive
Temperature_Record,Dinajpur | 2011 | 12 | Minimum,BMD B53,12.1,BBS B01,12.0,rounding
Temperature_Record,Sayedpur | 2011 | 1 | Minimum,BMD B53,9.2,BBS B01,9.1,rounding
Temperature_Record,Sayedpur | 2011 | 2 | Maximum,BMD B53,27.5,BBS B03,27.4,substantive
Temperature_Record,Sayedpur | 2011 | 4 | Maximum,BMD B53,32.4,BBS B03,32.3,substantive
