Block,Organization,Source_File,Source_Sheet,Block_Title,Repeating_Group_Removed,Target_Relation
B24,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.84,"Freshwater Quality by District/Station, 2020-2023 (BOD, lakes)",4 year columns 2020..2023,Water_Quality + River + River_Station
B29,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.85,"Marine Water Quality by District/Station, 2019-2024 (Biochemical oxygen demand (BOD))",6 year columns 2019..2024,Water_Quality
B30,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.85b,"Marine Water Quality by District/Station, 2019-2024 (Chemical oxygen demand (COD))",6 year columns 2019..2024,Water_Quality
B31,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.85c,"Marine Water Quality by District/Station, 2019-2024 (pH/Acidity/Alkalinity)",6 year columns 2019..2024,Water_Quality
B32,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.85d,"Marine Water Quality by District/Station, 2019-2024 (Salinity)",6 year columns 2019..2024,Water_Quality
B33,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.85e,"Marine Water Quality by District/Station, 2019-2024 (Dissolved oxygen (DO))",6 year columns 2019..2024,Water_Quality
B34,BBS,BBS_Time_Series_Environmental_Database.xlsx,T1.85f,"Marine Water Quality by District/Station, 2019-2024 (Plastic waste and other marine debris)",6 year columns 2019..2024,Water_Quality
B35,BBS,BBS_Time_Series_Environmental_Database.xlsx,T3.14,Treatment of Industrial Waste Water by type of Treatment (Cubic Meter) - Industry Type block,3 fiscal-year quantity columns + 3 percentage columns,Type_Of_Establishments
B36,BBS,BBS_Time_Series_Environmental_Database.xlsx,T3.22,Distribution of Reused Waste Water by Type and Category of Industry (000 litre.),3 fiscal-year produced columns + 3 reuse columns,Industry_Type
B37,BMD,Temperature Data.xlsx,Table-1,Monthly Temperature (degC) in 1995,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B38,BMD,Temperature Data.xlsx,Table-2,Monthly Temperature (degC) in 1996,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B39,BMD,Temperature Data.xlsx,Table-3,Monthly Temperature (degC) in 1997,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B40,BMD,Temperature Data.xlsx,Table-4,Monthly Temperature (degC) in 1998,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B41,BMD,Temperature Data.xlsx,Table-5,Monthly Temperature (degC) in 1999,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B42,BMD,Temperature Data.xlsx,Table-6,Monthly Temperature (degC) in 2000,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B43,BMD,Temperature Data.xlsx,Table-7,Monthly Temperature (degC) in 2001,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B44,BMD,Temperature Data.xlsx,Table-8,Monthly Temperature (degC) in 2002,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B45,BMD,Temperature Data.xlsx,Table-9,Monthly Temperature (degC) in 2003,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B46,BMD,Temperature Data.xlsx,Table-10,Monthly Temperature (degC) in 2004,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B47,BMD,Temperature Data.xlsx,Table-11,Monthly Temperature (degC) in 2005,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B48,BMD,Temperature Data.xlsx,Table-12,Monthly Temperature (degC) in 2006,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B49,BMD,Temperature Data.xlsx,Table-13,Monthly Temperature (degC) in 2007,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B50,BMD,Temperature Data.xlsx,Table-14,Monthly Temperature (degC) in 2008,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B51,BMD,Temperature Data.xlsx,Table-15,Monthly Temperature (degC) in 2009,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B52,BMD,Temperature Data.xlsx,Table-16,Monthly Temperature (degC) in 2010,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B53,BMD,Temperature Data.xlsx,Table-17,Monthly Temperature (degC) in 2011,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B54,BMD,Temperature Data.xlsx,Table-18,Monthly Temperature (degC) in 2012,Max_Jan..Max_Dec and Min_Jan..Min_Dec (24 columns),Temperature_Record (both Types)
B55,BMD,Sunshine.xls,Climate,"Climate (daily sunshine grid, 2022)",31 day columns D_01..D_31,Sunshine_Record
B56,BMD,Sunshine.xls,Climate Leap year February,"Climate Leap year February (daily sunshine grid, 2024)",31 day columns D_01..D_31,Sunshine_Record
B57,BRRI,BRRI_Daily_Maximum_Temperature.xlsx,BRRI_Daily_Maximum_Temperature,Daily Maximum Temperature data in degree celcius,31 day columns (Days 1..31),"Temperature_Record (Type=Maximum, monthly MAXIMUM)"
B58,BRRI,BRRI_Daily_Minimum_Temperature.xlsx,BRRI_Daily_Minimum_Temperature,Daily Minimum Temperature data in celcius,31 day columns (Days 1..31),"Temperature_Record (Type=Minimum, monthly MINIMUM)"
B59,BRRI,BRRI_Daily_Total_Rainfall.xlsx,BRRI_Daily_Total_Rainfall,Daily total Rain fall data in Milli meter,31 day columns (Days 1..31),Rainfall_Record (monthly SUM)
B60,BRRI,BRRI_Daily_Average_Humidity.xlsx,BRRI_Daily_Average_Humidity,Daily average Humidity in %,31 day columns (Days 1..31),Humidity_Record (monthly MEAN)
B61,BRRI,BRRI_Daily_Sunshine.xlsx,BRRI_Daily_Sunshine,Daily Total Sunshine Hours,31 day columns (Days 1..31),"Sunshine_Record (daily, no aggregation)"
B62,BWDB,BWDB_Rivers_Information.csv,(csv),BWDB river register,none (already one row per river),River
